SWITCHBOT_CHECKBOX1	6/7 einblenden
SWITCHBOT_NEWTEXT1	Nachkaufen aktivieren
SWITCHBOT_NEWTEXT2	Dieser Switchbot wurde von Mijago entwickelt.
SWITCHBOT_NEWTEXT3	Neue Ideen werden immer gerne gesehen!
SWITCHBOT_NEWTEXT4	Ziehe ein Item hierher, um es hinzuzufügen.
SWITCHBOT_NEWTEXT5	Ziehe den Bot an den Rand, um ihn zu verkleinern!
SWITCHBOT_NEWTEXT6	Hiermit kannst du die Anzeige von 6/7 Boni umschalten.
SWITCHBOT_NEWTEXT7	Stop ALLE Vorgänge!
SWITCHBOT_TEXT1	Switchbot starten
SWITCHBOT_TEXT2	6/7 starten
SWITCHBOT_TEXT3	Bonus 
SWITCHBOT_TEXT4	- Kein Boni ausgewählt -
SWITCHBOT_TEXT5	Inaktiv
SWITCHBOT_TEXT6	6/7 Inaktiv
SWITCHBOT_TEXT7	Tab schließen
SWITCHBOT_TEXT8	Aktiv
SWITCHBOT_TEXT9	Switchen (
SWITCHBOT_TEXT10	) starten
SWITCHBOT_TEXT11	Inaktiv
SWITCHBOT_TEXT12	6/7 Aktiv
SWITCHBOT_TEXT13	6/7 anhalten
SWITCHBOT_TEXT14	Fertig
SWITCHBOT_TEXT15	) anhalten
SWITCHBOT_TEXT16	6/7 Fertig
SWITCHBOT_TEXT17	6/7 fortsetzen
SWITCHBOT_TEXT18	Slot {}: fertig geswitcht!
SWITCHBOT_TEXT19	Slot {}: Keine Switchitems!
SWITCHBOT_TEXT20	Aktiv ({}%)
SWITCHBOT_TEXT21	Slot 6/7 {}: fertig geswitcht!
SWITCHBOT_TEXT22	Aktiv 6/7 ({}%)
SWITCHBOT_TEXT23	Item hier platzieren
SWITCHBOT_TEXT24	Dieses Item kannst du nicht switchen.
SWITCHBOT_TEXT25	Dieser Slot ist bereits eingefügt worden!
SWITCHBOT_TEXT26	Item hinzugefügt!
SWITCHBOT_TEXT27	vergrößern
SWITCHBOT_TEXT28	alle anhalten
SWITCHBOT_TEXT29	Minimieren
SWITCHBOT_TEXT30	Ausführliche Hilfe
SWITCHBOT_TEXT31	Hilfe
SWITCHBOT_TEXT32	Info
SWITCHBOT_TEXT33	starten
SWITCHBOT_TEXT34	+str(index+1)+
GIFTBOX_FUNCTIONALITY_DESC	Mit STRG+Rechtsklick öffnest du 50 Einheiten.
PRIVATE_SHOP_CANNOT_USE_YET	Der Laden kann noch nicht benutzt werden.
PRIVATE_SHOP_NAME_LENGTH_MIN	Der Laden-Name muss mindestens drei Zeichen lang sein.
PRIVATE_SHOP_NAME_LENGTH_MAX	Der Laden-Name darf maximal 32 Zeichen lang sein.
PRIVATE_SHOP_ENTER_PRICE	Bitte gebe einen Preis ein.
LOGIN_PIN_SET_SUCCESSFULLY	Dein PIN wurde erfolgreich gesetzt.
MAP_TREE2	Roter Wald
BLEND_POTION_NO_TIME	Die Zeit wird erst nach dem Kauf sichtbar.
BLEND_POTION_NO_INFO	Die Boni werden erst nach dem Kauf sichtbar.
ACCE_ABSORB_COST	Aufnahmepreis: {}
ACCE_ALREADY_REGISTER	Dieser Gegenstand wurde bereits verwendet.
ACCE_DEL_ABSORDITEM	Gegenstand aufnehmen und damit zerstören?
ACCE_DEL_SERVEITEM	Band 2 wird zerstört, wenn die Kombination fehlschlägt.
ACCE_DEL_SERVEITEM2	Band 2 wird zerstört, wenn die Kombination fehlschlägt.
ACCE_INITEM	Ziehe die Gegenstände auf das Fenster.
ACCE_MAXGRADE	Dies ist bereits maßgefertigt.
ACCE_MAX_DRAINRATE	Maximaler Aufnahmegrad
ACCE_NOTABSORBITEM	Du kannst keine Waffe/Rüstung benutzen, die bereits aufgenommen wurde.
ACCE_NOT_SEALITEM	Du kannst keinen seelengebundenen Gegenstand verwenden.
ACCE_NOT_USINGITEM	Ein ausgerüsteter Gegenstand kann nicht kombiniert werden.
ACCE_NOT_WINDOWOPEN	Du kannst den Gegenstand nicht verwenden, wenn das Fenster für die Kombination geöffnet ist.
ACCE_POSSIBLE_ACCE	Du kannst nur Schulterbänder benutzen.
ACCE_POSSIBLE_ACCEITEM	Du kannst Boni nur aus Waffen und Rüstungen extrahieren.
AFFECT_BLUE_POSSESSION	Indigowolfseele
AFFECT_LOVE_POINT	Liebespunkte: {}%
AFFECT_RED_POSSESSION	Purpurwolfseele
ALIGNMENT_NAME	Rangpunkte:
ATTACK_ERROR_UNKNOWN	Unbekannter Angriffsfehler: {}
ATTENDANCE_REWARD_QUESTION	Möchtest du deine Belohnung erhalten?
AUTO_TOOLTIP_LINE1	Fertigkeiten: Wähle Fertigkeiten für den Kampf aus und ziehe sie in die Slots. (Premium)
AUTO_TOOLTIP_LINE2	Hinweis: Du kannst unter der jeweiligen Fertigkeit den Intervall der Aktivierung (in Sekunden) editieren.
AUTO_TOOLTIP_LINE3	Tränke: Wähle Tränke für den Kampf aus und ziehe sie in die Slots. (Premium)
AUTO_TOOLTIP_LINE4	Hinweis: TP- und MP-Tränke werden aktiviert, wenn der unter dem Trank angegebene Wert in % unterschritten wird.
AUTO_TOOLTIP_LINE5	Hinweis: Die Laufzeit anderer Tränke wird in Sekunden angegeben.
AUTO_TOOLTIP_TITLE	Autojagd-Hilfe
BATTLE_POINT	Kampfpunkte
CANNOT_ATTACK_DEST_IN_SAFE	Der Gegner ist zu weit weg.
CANNOT_ATTACK_SELF_IN_SAFE	Ich kann den Gegner von hier nicht angreifen.
CANNOT_CHANGE_FIGHT_MODE	You can't change the fight mode from this map.
CANNOT_EQUIP_IN_EXCHANGE	Du kannst keine Ausrüstung wechseln, während du handelst.
CANNOT_EQUIP_IN_SHOP	Du kannst keine Ausrüstung wechseln, während du handelst.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Du kannst einen privaten Laden nicht an einem öffentlichen Ort eröffnen.
CANNOT_SHOOT_DEST_IN_SAFE	Der Gegner ist zu weit weg.
CANNOT_SHOOT_EMPTY_ARROW	Ich benötige einen Pfeil.
CANNOT_SHOOT_SELF_IN_SAFE	Ich kann den Gegner von hier nicht angreifen.
CANNOT_SKILL_APPROACH	Ich bin mir sicher, dass ich nicht näher rankomme.
CANNOT_SKILL_ATTACK	Ich kann das nicht angreifen.
CANNOT_SKILL_BLUE	Wenn Purpurwolfseele aktiviert ist, kannst du Indigowolfseele nicht verwenden.
CANNOT_SKILL_DEST_IN_SAFE	Der Gegner ist zu weit weg.
CANNOT_SKILL_EQUIP_FISHING_ROD	Ich benötige eine Angelrute.
CANNOT_SKILL_HAVE_TO_RIDE	Ich brauche ein Pferd, um das zu verwenden.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Ich habe keine leere Flasche.
CANNOT_SKILL_NEED_POISON_BOTTLE	Ich habe keine Giftflasche.
CANNOT_SKILL_NEED_TARGET	Wer ist das Ziel?
CANNOT_SKILL_NOT_ENOUGH_HP	Ich habe nicht genug TP!
CANNOT_SKILL_NOT_ENOUGH_SP	Ich habe nicht genug MP!
CANNOT_SKILL_NOT_HORSE_SKILL	Das kann ich nicht verwenden, während ich reite.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Diese Fertigkeit kann ich nicht mit dieser Waffe einsetzen.
CANNOT_SKILL_NOT_YET_LEARN	Diese Fertigkeit habe ich nicht gelernt.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Das wirkt nur bei Gruppenmitgliedern.
CANNOT_SKILL_ONLY_FOR_CORPSE	Das wirkt nur bei Toten.
CANNOT_SKILL_RED	Wenn Indigowolfseele aktiviert ist, kannst du Purpurwolfseele nicht verwenden.
CANNOT_SKILL_REMOVE_FISHING_ROD	Diese Fertigkeit kann ich nicht mit einer Angelrute einsetzen.
CANNOT_SKILL_SELF_IN_SAFE	Ich kann nicht von hier angreifen.
CANNOT_SKILL_USE_SELF	Das kann ich nicht auf mich selbst anwenden.
CANNOT_SKILL_WAIT_COOLTIME	Diese Fertigkeit kann ich noch nicht einsetzen.
CANNOT_SKILL_BLOCKED	Diese Fertigkeit kann hier nicht eingesetzt werden.
CANNOT_USE	Du kannst ihn nicht verwenden.
CANNOT_WHISPER_DEST_REFUSE	{} hat Flüstern blockiert.
CANNOT_WHISPER_NOT_LOGON	{} ist nicht online.
CANNOT_WHISPER_SELF_REFUSE	Du kannst niemandem etwas zuflüstern, wenn du Flüstern blockiert hast.
CHOOSE_YOUR_SKILL_GROUP	Wähle deine Lehre
CATEGORY_ARMOR_ARMOR_BODY	Rüstungen
CATEGORY_ARMOR_ARMOR_HEAD	Helme
CATEGORY_ARMOR_ARMOR_SHIELD	Schilde
CATEGORY_COSTUMES	Kostüme
CATEGORY_COSTUMES_COSTUME_BODY	Kostüme
