ACCE_ABSORB_COST	Absorption price: {}
ACCE_ALREADY_REGISTER	This item has already been used.
ACCE_DEL_ABSORDITEM	Absorb item, destroying it in the process?
ACCE_DEL_SERVEITEM	Band 2 wird zerstört, wenn die Kombination fehlschlägt.
ACCE_DEL_SERVEITEM2	Band 2 wird zerstört, wenn die Kombination fehlschlägt.
ACCE_INITEM	Drag the items into the window.
ACCE_MAXGRADE	This has already been customized.
ACCE_MAX_DRAINRATE	Max. Absorption Rate
ACCE_NOTABSORBITEM	You cannot use a weapon or armor piece that has already been absorbed.
ACCE_NOT_SEALITEM	You cannot use any soulbound items.
ACCE_NOT_USINGITEM	You cannot combine an equipped item.
ACCE_NOT_WINDOWOPEN	You cannot use the item when the window for combination is open.
ACCE_POSSIBLE_ACCE	You can only use Shoulder Sashes.
ACCE_POSSIBLE_ACCEITEM	You can only extract bonuses from weapons and armor.
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_ACCOUNT	Account: {}({})
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_ACCOUNTBAN	Bereits {} mal gesperrt.
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_CHATBAN	{} Chatblocks erhalten.
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_NO_TIMEOUT	Account ist frei
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_OFFLINE	Offline
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_ONLINE	Online
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_PLAYER	Spieler: {} (Lv.{}) PID: {}
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_PLAYERBAN	{} mal gesperrt.
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_TIMEOUT	Account ist gesperrt für {}
ADMIN_MANAGER_BAN_ACCOUNT_SEARCH_NO_NAME	Kein Name angegeben.
ADMIN_MANAGER_BAN_ACCOUNT_SEARCH_TYPE_ACCOUNT	Suche Account
ADMIN_MANAGER_BAN_ACCOUNT_SEARCH_TYPE_ACCOUNT_TOOLTIP	Suche Account
ADMIN_MANAGER_BAN_ACCOUNT_SEARCH_TYPE_PLAYER	Suche Spieler
ADMIN_MANAGER_BAN_ACCOUNT_SEARCH_TYPE_PLAYER_TOOLTIP	Suche Spieler
ADMIN_MANAGER_BAN_ACCOUNT_TOOLTIP_ACCBAN_COUNT	Banns bisher {}
ADMIN_MANAGER_BAN_ACCOUNT_TOOLTIP_ACCID	Account-Id {}
ADMIN_MANAGER_BAN_ACCOUNT_TOOLTIP_ACCNAME	Login {}
ADMIN_MANAGER_BAN_ACCOUNT_TOOLTIP_NO_TIMEOUT	Läuft nicht ab
ADMIN_MANAGER_BAN_ACCOUNT_TOOLTIP_PLAYER_TEXT	{}({})
ADMIN_MANAGER_BAN_ACCOUNT_TOOLTIP_TIMEOUT	Läuf ab in {}
ADMIN_MANAGER_BAN_ACCOUNT_UNBAN_NO_SELECTED	Kein Spieler ausgewählt
ADMIN_MANAGER_BAN_CHAT_REASON_INPUT_BAN1	Chat ban 1
ADMIN_MANAGER_BAN_CHAT_REASON_INPUT_BAN2	Chat ban 2
ADMIN_MANAGER_BAN_CHAT_REASON_INPUT_TITLE_BAN	Vom Chat bannen
ADMIN_MANAGER_BAN_CHAT_REASON_INPUT_TITLE_UNBAN	Chat freigeben
ADMIN_MANAGER_BAN_CHAT_REASON_INPUT_UNBAN1	Chat unban 1
ADMIN_MANAGER_BAN_CHAT_REASON_INPUT_UNBAN2	Chat unban 2
ADMIN_MANAGER_BAN_CHAT_SEARCH_NO_PLAYER	Kein Name angegeben
ADMIN_MANAGER_BAN_CHAT_UNBAN_NO_SELECTED	Kein Spieler ausgewählt
ADMIN_MANAGER_BAN_LOG_ACCOUNT_TITLE	Account {}({})
ADMIN_MANAGER_BAN_LOG_TITLE	Spieler {}({})
ADMIN_MANAGER_BAN_PLAYER_TOOLTIP_ACCOUNTBAN	Bisherige Banns {}
ADMIN_MANAGER_BAN_PLAYER_TOOLTIP_CHATBAN	Bisherige Chatbanns {}
ADMIN_MANAGER_BAN_PLAYER_TOOLTIP_NAME	{}(Lv {})
ADMIN_MANAGER_BAN_PLAYER_TOOLTIP_NO_TIMEOUT	Läuft nicht ab
ADMIN_MANAGER_BAN_PLAYER_TOOLTIP_OFFLINE	Offline
ADMIN_MANAGER_BAN_PLAYER_TOOLTIP_ONLINE	Online
ADMIN_MANAGER_BAN_PLAYER_TOOLTIP_PID	Spieler-ID {}
ADMIN_MANAGER_BAN_PLAYER_TOOLTIP_TIMEOUT	Läuft ab in {}
ADMIN_MANAGER_BAN_RESULT_BAN_TIME_INVALID	Ungültige Zeit
ADMIN_MANAGER_BAN_TYPE_ACCOUNT	Account-Bann
ADMIN_MANAGER_BAN_TYPE_CHAT	Chatbann
ADMIN_MANAGER_GENERAL_QUESTION_ACCEPT_WARP	Teleportieren
ADMIN_MANAGER_GENERAL_QUESTION_TEXT	Möchtest du {} überwachen?
ADMIN_MANAGER_GENERAL_USER_COUNT	Spieleronline: {}
ADMIN_MANAGER_ITEM_MAIN_RESULT_OWNER_TYPE_ACCOUNT	Account
ADMIN_MANAGER_ITEM_MAIN_RESULT_OWNER_TYPE_PLAYER	Spieler
ADMIN_MANAGER_ITEM_MAIN_RESULT_WINDOW_EQUIPMENT	Equipment
ADMIN_MANAGER_ITEM_MAIN_RESULT_WINDOW_GROUND	Boden
ADMIN_MANAGER_ITEM_MAIN_RESULT_WINDOW_INVENTORY	Inventar
ADMIN_MANAGER_ITEM_MAIN_RESULT_WINDOW_MALL	ItemShop-Lager
ADMIN_MANAGER_ITEM_MAIN_RESULT_WINDOW_SAFEBOX	Lager
ADMIN_MANAGER_ITEM_MAIN_RESULT_WINDOW_UNKNOWN	Unbekanntes Fenster {}
ADMIN_MANAGER_ITEM_MAIN_SEARCH_NO_TEXT	Nichts angegeben
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_GM_ITEM	GM Item
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_GM_ITEM_TOOLTIP	GM Item
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_IID	ItemID
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_IID_TOOLTIP	ItemID
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_INAME	Item Name
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_INAME_TOOLTIP	Item Name
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_PID	Spieler-ID
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_PID_TOOLTIP	Spieler-ID
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_PNAME	Spielername
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_PNAME_TOOLTIP	Spielername
ADMIN_MANAGER_MAPVIEWER_WARP_TEXT	Nach {}, {} teleportieren.
ADMIN_MANAGER_OBSERVER_BAN_ACTIVATE_INVALID	Ban activate invalid
ADMIN_MANAGER_OBSERVER_BAN_STATUS_NONE	Kein Bann
ADMIN_MANAGER_OBSERVER_BAN_STATUS_RUNNING	Noch {}
ADMIN_MANAGER_OBSERVER_CHATBAN_ACTIVATE_INVALID	Du musst eine Ablaufzeit angeben.
ADMIN_MANAGER_OBSERVER_DOUBLECLICK_INFO	Doppelklick Info Translate
ADMIN_MANAGER_OBSERVER_GENERAL_ACCOUNT	Account: {} ({})
ADMIN_MANAGER_OBSERVER_GENERAL_CHANNEL	Channel: {}
ADMIN_MANAGER_OBSERVER_GENERAL_GOLD	Yang: {}
ADMIN_MANAGER_OBSERVER_GENERAL_HP	{} / {}
ADMIN_MANAGER_OBSERVER_GENERAL_LEVEL	Level: {}
ADMIN_MANAGER_OBSERVER_GENERAL_MAP_INFO	Karte: {} ({})
ADMIN_MANAGER_OBSERVER_GENERAL_NAME	Name: {}
ADMIN_MANAGER_OBSERVER_GENERAL_PID	ID: {}
ADMIN_MANAGER_OBSERVER_GENERAL_SKILLGROUP	Lehre: {}
ADMIN_MANAGER_OBSERVER_GENERAL_SP	{} / {}
ADMIN_MANAGER_OBSERVER_ITEM_ID_COPIED	Item ID {} kopiert ({})
ADMIN_MANAGER_OBSERVER_ITEM_TOOLTIP_ID	Item-ID: {}
ADMIN_MANAGER_OBSERVER_REASON_INPUT_BAN1	Bantext1
ADMIN_MANAGER_OBSERVER_REASON_INPUT_BAN2	Bantext2
ADMIN_MANAGER_OBSERVER_REASON_INPUT_TITLE_BAN	Bannen
ADMIN_MANAGER_OBSERVER_REASON_INPUT_TITLE_UNBAN	Unban
ADMIN_MANAGER_OBSERVER_REASON_INPUT_UNBAN1	Unban1 Text
ADMIN_MANAGER_OBSERVER_REASON_INPUT_UNBAN2	Unban2 Text
ADMIN_MANAGER_OBSERVER_RESTARTED	Die Überwachung von {} wurde wieder aufgenommen.
AFFECT_BLUE_POSSESSION	 Indigo Wolf Soul
AFFECT_LOVE_POINT	Love points: {}%
AFFECT_RED_POSSESSION	 Crimson Wolf Soul
AFFECT_REMOVE_QUESTION	Do you really want to remove this buff?
ALIGNMENT_NAME	Rank points:
ATTACK_ERROR_UNKNOWN	Unknown attack error: {}
ATTENDANCE_REWARD_QUESTION	Do you want to collect your reward?
AUTO_TOOLTIP_LINE1	Skills: Select skills for combat and drag them into the slots. (Premium)
AUTO_TOOLTIP_LINE2	Hint: You can change the activation interval (in seconds) below each skill.
AUTO_TOOLTIP_LINE3	Potions: Select potions for combat and drag them into the slots. (Premium)
AUTO_TOOLTIP_LINE4	Hint: HP and SP potions will be activated as soon as the level falls below the % value shown below each potion.
AUTO_TOOLTIP_LINE5	Hint: The duration of other potions is given in seconds.
AUTO_TOOLTIP_TITLE	Auto-Hunting Help
BATTLEPASS_TEXT1	Free-Battlepass
BATTLEPASS_ID_2_NAME	Premium-Battlepass
BATTLEPASS_TEXT2	Status: |cff82ff7d|H|hFinished|h|r
BATTLEPASS_TEXT3	Status: |cfffeff7d|H|hRunning|h|r
BATTLEPASS_TEXT4	Percent {:.1f}%
BATTLEPASS_TEXT5	Name: {}
BATTLEPASS_TEXT6	Mission to finished: {}
BATTLEPASS_TEXT7	Missions finished: {}
BATTLEPASS_TEXT8	Time remains: |cfffeff7d|H|h{}|h|r
BATTLE_POINT	Combat Points
BEAD	Marble of Life
BEAD_TIME_REMAINING_TO_GET	Marble of Life(Time remaining to get: {} min)
BLEND_POTION_NO_INFO	The bonuses are only visible after the purchase.
BLEND_POTION_NO_TIME	The time becomes visible only after the purchase.
CANNOT_ATTACK_DEST_IN_SAFE	The combatant is too far away.
CANNOT_ATTACK_SELF_IN_SAFE	I cannot attack my opponent from here.
CANNOT_CHANGE_FIGHT_MODE	You can't change the fight mode from this map.
CANNOT_EQUIP_IN_EXCHANGE	You cannot change your equipment whilst trading.
CANNOT_EQUIP_IN_SHOP	You cannot change your equipment whilst trading.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	You cannot open a private shop in a public area.
CANNOT_SHOOT_DEST_IN_SAFE	The enemy is too far away.
CANNOT_SHOOT_EMPTY_ARROW	I need an arrow.
CANNOT_SHOOT_SELF_IN_SAFE	I cannot attack my opponent from here.
CANNOT_SKILL_APPROACH	I am sure that I cannot get any closer.
