ACCE_ABSORB_COST	Abszorpció ára: {}
ACCE_ALREADY_REGISTER	Ez a tárgy már felhasználásra került.
ACCE_DEL_ABSORDITEM	Tárgy abszorbeálása és annak megsemmisítése?
ACCE_DEL_SERVEITEM	A Pánt 2 megsemmisül, ha a kombináció sikertelen.
ACCE_DEL_SERVEITEM2	A Pánt 2 megsemmisül, ha a kombináció sikertelen.
ACCE_INITEM	Húzd a tárgyakat az ablakba.
ACCE_MAXGRADE	Ez már egyedivé lett téve.
ACCE_MAX_DRAINRATE	Max. abszorpciós mérték
ACCE_NOTABSORBITEM	Nem tudod használni azt a fegyvert vagy páncéldarabot, ami már abszorbeálva lett.
ACCE_NOT_SEALITEM	Nem használhatsz lélekhez kötött tárgyakat.
ACCE_NOT_USINGITEM	Nem kombinálhatsz felszerelt tárgyat.
ACCE_NOT_WINDOWOPEN	Nem használhatod a tárgyat, ha a kombinációs ablak meg van nyitva.
ACCE_POSSIBLE_ACCE	Csak Vállpántokat használhatsz.
ACCE_POSSIBLE_ACCEITEM	Csak fegyverekből és páncélokból vonhatsz ki bónuszokat.
AFF_LOVE_POINT	Szerelmi pont: {}%
ALIGNMENT_NAME	Rang pontok:
ATTACK_ERROR_UNKNOWN	Ismeretlen Támadási Hiba: {}
ATTENDANCE_REWARD_QUESTION	Be szeretnéd gyűjteni a jutalmad?
AUTO_TOOLTIP_LINE1	Készségek: Válassz készségeket a harchoz és húzd bele azokat a foglalatokba. (Prémium)
AUTO_TOOLTIP_LINE2	Tipp: Minden egyes készség alatt megváltoztathatod az aktivációs időközt (másodpercben).
AUTO_TOOLTIP_LINE3	Bájitalok: Válassz bájitalokat a harchoz és húzd bele azokat a foglalatokba. (Prémium)
AUTO_TOOLTIP_LINE4	Tipp: A TP és MP bájitalok aktiválódnak, amint a szint az egyes bájitalok alatt látható % érték alá csökken.
AUTO_TOOLTIP_LINE5	Tipp: Az egyéb bájitalok időtartama másodpercben van megadva.
AUTO_TOOLTIP_TITLE	Auto-vadászat segítség
BATTLE_POINT	Harci pontok
BEAD	Anima-gömb
BEAD_TIME_REMAINING_TO_GET	Anima-gömb újratöltése: {} perc múlva.
CANNOT_ATTACK_DEST_IN_SAFE	A harcos túl messze van
LOGIN_PIN_SET_SUCCESSFULLY	A PIN-ed sikeresen mentve!
PRIVATE_SHOP_ENTER_PRICE	Adj meg árat.
PRIVATE_SHOP_CANNOT_USE_YET	Nem használhatsz privát boltot még.
PRIVATE_SHOP_NAME_LENGTH_MIN	A bolt neve legalább 3 karakter kell legyen.
PRIVATE_SHOP_NAME_LENGTH_MAX	A bolt neve nem lehet több 32 karakternél.
CANNOT_ATTACK_SELF_IN_SAFE	Nem támadhatok innen.
CANNOT_EQUIP_IN_EXCHANGE	Nem válthatsz felszerelést amíg kereskedsz.
CANNOT_EQUIP_IN_SHOP	Nem válthatsz felszerelést, amíg kereskedsz.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Nyilvános területen nem nyithatsz magán boltot.
CANNOT_SHOOT_DEST_IN_SAFE	Túl messze az ellenség.
CANNOT_SHOOT_EMPTY_ARROW	Szükségem lenne egy nyílra.
CANNOT_SHOOT_SELF_IN_SAFE	Innen támadhatom meg az ellenfelem.
CANNOT_SKILL_APPROACH	Biztos vagyok benne, hogy nem tudok közelebb menni.
CANNOT_SKILL_ATTACK	Azt nem tudom megtámadni.
CANNOT_SKILL_BLUE	Nem használhatod az Indigófarkas-lelket, ha a Bíborfarkas-lélek aktív.
CANNOT_SKILL_DEST_IN_SAFE	Túl messze az ellenség.
CANNOT_SKILL_EQUIP_FISHING_ROD	Szükségem van egy horgászbotra.
CANNOT_SKILL_HAVE_TO_RIDE	Szükségem van egy lóra, hogy fel tudjam használni.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Nincs üres üvegem.
CANNOT_SKILL_NEED_POISON_BOTTLE	Nincs méregtartóm.
CANNOT_SKILL_NEED_TARGET	Ki a célpont?
CANNOT_SKILL_NOT_ENOUGH_HP	Nincs elég TP-m!
CANNOT_SKILL_NOT_ENOUGH_SP	Nincs elég MP-m!
CANNOT_SKILL_NOT_HORSE_SKILL	Nem tudom használni, amíg lovagolok.
