ACCE_ABSORB_COST	Costo dell'assorbimento: {}
ACCE_ALREADY_REGISTER	Questo oggetto è stato già usato.
ACCE_DEL_ABSORDITEM	Assorbire e distruggere l'oggetto?
ACCE_DEL_SERVEITEM	Se la fusione fallisce, la stola 2 verrà distrutta.
ACCE_DEL_SERVEITEM2	Se la fusione fallisce, la stola 2 verrà distrutta.
ACCE_INITEM	Trascina gli oggetti nella finestra.
ACCE_MAXGRADE	Questa stola è già su misura.
ACCE_MAX_DRAINRATE	Tasso di assorbimento massimo
ACCE_NOTABSORBITEM	Non puoi utilizzare un'arma/armatura già assorbita.
ACCE_NOT_SEALITEM	Non si possono utilizzare oggetti legati all'anima.
ACCE_NOT_USINGITEM	Non si possono fondere oggetti che fan parte dell'equipaggiamento.
ACCE_NOT_WINDOWOPEN	Non è possibile utilizzare l'oggetto mentre la finestra della fusione è aperta.
ACCE_POSSIBLE_ACCE	Puoi utilizzare solo stole.
ACCE_POSSIBLE_ACCEITEM	Puoi estrarre bonus solo da armi e armature.
AFF_LOVE_POINT	Punto amore: {}%
ALIGNMENT_NAME	Punti Karma:
ATTACK_ERROR_UNKNOWN	Errore d'attacco sconosciuto: {}
ATTENDANCE_REWARD_QUESTION	Vuoi ricevere la tua ricompensa?
AUTO_TOOLTIP_LINE1	Abilità: scegli delle abilità per la battaglia e trascinale negli spazi. (Premium)
AUTO_TOOLTIP_LINE2	Suggerimento: sotto ogni abilità puoi modificare l'intervallo di attivazione (espresso in secondi).
AUTO_TOOLTIP_LINE3	Abilità: scegli delle pozioni per la battaglia e trascinale negli spazi. (Premium)
AUTO_TOOLTIP_LINE4	Suggerimento: le pozioni HP e MP si attivano quando si supera il valore in % espresso sotto la pozione.
AUTO_TOOLTIP_LINE5	Suggerimento: la durata delle altre pozioni è espressa in secondi.
AUTO_TOOLTIP_TITLE	Aiuto Autocaccia
BATTLE_POINT	Punti battaglia
BEAD	Sfera Anima
BEAD_TIME_REMAINING_TO_GET	La Sfera Anima verrà ricaricata tra {} min.
CANNOT_ATTACK_DEST_IN_SAFE	The combatant is too far away.
LOGIN_PIN_SET_SUCCESSFULLY	Your PIN was set successfully.
PRIVATE_SHOP_ENTER_PRICE	Set a price.
PRIVATE_SHOP_CANNOT_USE_YET	You can not use a private shop yet.
PRIVATE_SHOP_NAME_LENGTH_MIN	The shop name must be at least three characters long.
PRIVATE_SHOP_NAME_LENGTH_MAX	The shop name must not be longer than 32 characters.
CANNOT_ATTACK_SELF_IN_SAFE	I cannot attack my opponent from here.
CANNOT_EQUIP_IN_EXCHANGE	Mentre stai commerciando non puoi cambiare nessuna armatura.
CANNOT_EQUIP_IN_SHOP	Mentre stai commerciando non puoi cambiare nessuna armatura.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Non puoi aprire il tuo negozio privato in un luogo pubblico.
CANNOT_SHOOT_DEST_IN_SAFE	The enemy is too far away.
CANNOT_SHOOT_EMPTY_ARROW	I need an arrow.
CANNOT_SHOOT_SELF_IN_SAFE	I cannot attack my opponent from here.
CANNOT_SKILL_APPROACH	Sono sicuro di non riuscire ad arrivarci da più vicino.
CANNOT_SKILL_ATTACK	I cannot attack that.
CANNOT_SKILL_BLUE	Se l'Anima del lupo purpureo è attiva, non puoi usare l'Anima del lupo indaco.
CANNOT_SKILL_DEST_IN_SAFE	L'avversario è troppo lontano.
CANNOT_SKILL_EQUIP_FISHING_ROD	Mi serve una canna da pesca.
CANNOT_SKILL_HAVE_TO_RIDE	Per utilizzarlo mi serve un cavallo.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Non ho una bottiglia vuota.
CANNOT_SKILL_NEED_POISON_BOTTLE	Non ho una bottiglia di veleno.
CANNOT_SKILL_NEED_TARGET	Chi è il bersaglio?
CANNOT_SKILL_NOT_ENOUGH_HP	Non ho abbastanza HP!
CANNOT_SKILL_NOT_ENOUGH_SP	Non ho abbastanza MP!
CANNOT_SKILL_NOT_HORSE_SKILL	Non lo posso utilizzare mentre cavalco.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Non posso utilizzare questa abilità con quest`arma.
CANNOT_SKILL_NOT_YET_LEARN	Non ho imparato quest`abilità.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Ha effetto solo sui membri del gruppo.
CANNOT_SKILL_ONLY_FOR_CORPSE	Ha effetto solo sui morti.
CANNOT_SKILL_RED	Se l'Anima del lupo indaco è attiva, non puoi usare l'Anima del lupo purpureo.
CANNOT_SKILL_REMOVE_FISHING_ROD	Non posso utilizzare questa abilità con la mia canna da pesca.
CANNOT_SKILL_SELF_IN_SAFE	I cannot attack from here.
CANNOT_SKILL_USE_SELF	Non posso usarlo su me stesso.
CANNOT_SKILL_WAIT_COOLTIME	Non sono ancora in grado di utilizzare questa abilità.
CANNOT_SKILL_BLOCKED	This skill cannot be used here.
CANNOT_USE	You cannot use this.
CANNOT_WHISPER_DEST_REFUSE	{} ha bloccato la chat privata.
CANNOT_WHISPER_NOT_LOGON	{} non è online.
CANNOT_WHISPER_SELF_REFUSE	Non puoi chattare privatamente con gli altri se hai bloccato la Chat privata.
CATEGORY_ARMOR_ARMOR_BODY	Armature
CATEGORY_ARMOR_ARMOR_HEAD	Elmi
CATEGORY_ARMOR_ARMOR_SHIELD	Scudi
CATEGORY_COSTUMES	Costumi
CATEGORY_COSTUMES_COSTUME_BODY	Costumi
CATEGORY_COSTUMES_COSTUME_HAIR	Pettinature
CATEGORY_COSTUMES_COSTUME_WEAPON	Skin per arma
CATEGORY_COSTUMES_ETC	Varie
CATEGORY_COSTUMES_SASH	Stole
CATEGORY_DRAGON_STONE	Alchimia delle Pietre del drago
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamante
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granato
CATEGORY_DRAGON_STONE_DRAGON_JADE	Giada
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Onice
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubino
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Zaffiro
CATEGORY_DRAGON_STONE_ETC	Varie
CATEGORY_EQUIPMENT_ARMOR	Armature
CATEGORY_EQUIPMENT_JEWELRY	Gioielli
CATEGORY_EQUIPMENT_WEAPON	Armi
CATEGORY_ETC	Varie
CATEGORY_ETC_ETC	Varie
CATEGORY_ETC_EVENT	Item eventi
CATEGORY_ETC_GIFTBOX	Bauli | Pacchi
CATEGORY_ETC_MATRIMORY	Matrimonio
CATEGORY_ETC_PARTI	Libri dell'Arte della guerra
CATEGORY_ETC_POLYMORPH	Sfere trasformazione
CATEGORY_ETC_RECIPE	Produzione pozioni
CATEGORY_ETC_SEAL	Legame dell'anima
CATEGORY_FISHING_PICK	Pesca | Scienza mineraria
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Picconi appuntiti
CATEGORY_FISHING_PICK_ETC	Varie
CATEGORY_FISHING_PICK_FISHING_POLE	Canne da pesca
CATEGORY_FISHING_PICK_FOOD	Pesci
CATEGORY_FISHING_PICK_PICK_BOOK	Libri di scienza mineraria
CATEGORY_FISHING_PICK_STONE	Minerali
CATEGORY_JEWELRY_ARMOR_EAR	Orecchini
CATEGORY_JEWELRY_ARMOR_FOOTS	Scarpe
CATEGORY_JEWELRY_ARMOR_NECK	Collane
CATEGORY_JEWELRY_ARMOR_PENDANT	Talismano
CATEGORY_JEWELRY_ARMOR_WRIST	Bracciali
CATEGORY_JEWELRY_ITEM_BELT	Cinture
CATEGORY_MOUNT_PET	Cavalcature | Pet
CATEGORY_MOUNT_PET_CHARGED_PET	Pet
CATEGORY_MOUNT_PET_EGG	Uova del pet
CATEGORY_MOUNT_PET_FREE_PET	Pet evolvibili
CATEGORY_MOUNT_PET_MOUNT	Cavalcature
CATEGORY_POTION	Pozioni
CATEGORY_POTION_ABILITY	Beni di consumo
CATEGORY_POTION_ETC	Varie
CATEGORY_POTION_HAIRDYE	Colori di capelli
CATEGORY_SKILL	Abilità
CATEGORY_SKILL_BOOK_OF_OBLIVION	Libri dell'Amnesia
CATEGORY_SKILL_ETC	Varie
CATEGORY_SKILL_PAHAE	Contrattacco | Boost
CATEGORY_SKILL_SKILL_BOOK	Libri delle abilità
CATEGORY_TUNING	Miglioramenti
CATEGORY_TUNING_ETC	Varie
CATEGORY_TUNING_RESOURCE	Materiali
CATEGORY_TUNING_STONE	Pietre spirituali
CATEGORY_UNIQUE	Item speciali
CATEGORY_UNIQUE_ABILITY	Beni di consumo
CATEGORY_UNIQUE_ETC	Varie
CATEGORY_WEAPON_WEAPON_ARROW	Frecce
CATEGORY_WEAPON_WEAPON_BELL	Campane
CATEGORY_WEAPON_WEAPON_BOW	Archi
CATEGORY_WEAPON_WEAPON_CLAW	Artigli
CATEGORY_WEAPON_WEAPON_DAGGER	Pugnali
CATEGORY_WEAPON_WEAPON_FAN	Ventagli
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Lance
CATEGORY_WEAPON_WEAPON_QUIVER	Faretre
CATEGORY_WEAPON_WEAPON_SWORD	Arma a una mano
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Armi a due mani
