ACCE_ABSORB_COST	Cena absorpcji: {}
ACCE_ALREADY_REGISTER	Przedmiot ten został już użyty.
ACCE_DEL_ABSORDITEM	Absorbować i tym samym zniszczyć przedmiot?
ACCE_DEL_SERVEITEM	Szarfa 2 ulegnie zniszczeniu, jeśli kombinacja się nie powiedzie.
ACCE_DEL_SERVEITEM2	Szarfa 2 ulegnie zniszczeniu, jeśli kombinacja się nie powiedzie.
ACCE_INITEM	Przeciągnij przedmioty do okienka.
ACCE_MAXGRADE	To posiada już stopień unikatowy.
ACCE_MAX_DRAINRATE	Maksymalny stopień absorpcji
ACCE_NOTABSORBITEM	Nie możesz używać broni/zbroi, które zostały już absorbowane.
ACCE_NOT_SEALITEM	Nie możesz używać przedmiotu przywiązanego do duszy.
ACCE_NOT_USINGITEM	Nie możesz kombinować wyposażonego przedmiotu.
ACCE_NOT_WINDOWOPEN	Nie możesz użyć przedmiotu przy otwartym okienku kombinacji.
ACCE_POSSIBLE_ACCE	Możesz używać tylko szarf.
ACCE_POSSIBLE_ACCEITEM	Możesz ekstrahować bonusy tylko z broni i zbroi.
AFF_LOVE_POINT	Punkty Miłosne: {}%
ALIGNMENT_NAME	Punkty Rangi:
ATTACK_ERROR_UNKNOWN	Nieznany błąd podczas ataku: {}
ATTENDANCE_REWARD_QUESTION	Czy chcesz otrzymać swoją nagrodę?
AUTO_TOOLTIP_LINE1	Umiejętności: Wybierz umiejętności do walki i przeciągnij je na sloty. (Premium)
AUTO_TOOLTIP_LINE2	Wskazówka: Pod każdą umiejętnością możesz edytować czas trwania aktywacji (w sek.)
AUTO_TOOLTIP_LINE3	Mikstury: Wybierz mikstury do walki i przeciągnij je na sloty. (Premium)
AUTO_TOOLTIP_LINE4	Wskazówka: Mikstury PŻ i PE zostaną aktywowane, gdy wartość w % podana pod miksturą spadnie poniżej danego poziomu.
AUTO_TOOLTIP_LINE5	Wskazówka: Czas trwania innych mikstur podany jest w sekundach.
AUTO_TOOLTIP_TITLE	Auto Łowy - Pomoc
BATTLE_POINT	Punkty walki
BEAD	Animosfera
BEAD_TIME_REMAINING_TO_GET	Animosfera zostanie naładowana za: {} min.
CANNOT_ATTACK_DEST_IN_SAFE	The combatant is too far away.
CANNOT_ATTACK_SELF_IN_SAFE	I cannot attack my opponent from here.
LOGIN_PIN_SET_SUCCESSFULLY	Your PIN was set successfully.
PRIVATE_SHOP_ENTER_PRICE	Set a price.
PRIVATE_SHOP_CANNOT_USE_YET	You can not use a private shop yet.
PRIVATE_SHOP_NAME_LENGTH_MIN	The shop name must be at least three characters long.
PRIVATE_SHOP_NAME_LENGTH_MAX	The shop name must not be longer than 32 characters.
CANNOT_EQUIP_IN_EXCHANGE	Nie możesz zmieniać wyposażenia podczas handlowania.
CANNOT_EQUIP_IN_SHOP	Nie możesz zdjąć założonego ekwipunku podczas handlu.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Nie możesz otworzyć Prywatnego Magazynu w miejscu publicznym.
CANNOT_SHOOT_DEST_IN_SAFE	The enemy is too far away.
CANNOT_SHOOT_EMPTY_ARROW	I need an arrow.
CANNOT_SHOOT_SELF_IN_SAFE	I cannot attack my opponent from here.
CANNOT_SKILL_APPROACH	Na pewno nie mogę podejść bliżej.
CANNOT_SKILL_ATTACK	I cannot attack that.
CANNOT_SKILL_BLUE	Gdy aktywna jest Dusza Purpurowego Wilka, nie możesz użyć Duszy Wilka Indygo.
CANNOT_SKILL_DEST_IN_SAFE	Wróg jest za daleko.
CANNOT_SKILL_EQUIP_FISHING_ROD	Potrzebuję Wędki.
CANNOT_SKILL_HAVE_TO_RIDE	Potrzebuję Konia zanim będę mógł tego użyć.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Nie mam Pustej Butelki.
CANNOT_SKILL_NEED_POISON_BOTTLE	Nie mam Butelki Z Trucizną.
CANNOT_SKILL_NEED_TARGET	Kto jest celem?
CANNOT_SKILL_NOT_ENOUGH_HP	Mam za mało Punktów Życia!
CANNOT_SKILL_NOT_ENOUGH_SP	Mam za mało Punktów Energii!
CANNOT_SKILL_NOT_HORSE_SKILL	Nie mogę tego użyć podczas jazdy konnej.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Nie mogę użyć tej umiejętności z tą bronią.
CANNOT_SKILL_NOT_YET_LEARN	Nie opanowałem tej umiejętności.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	To działa tylko na członków grupy.
CANNOT_SKILL_ONLY_FOR_CORPSE	To działa tylko na martwych ludzi.
CANNOT_SKILL_RED	Gdy aktywna jest Dusza Wilka Indygo, nie możesz użyć Duszy Purpurowego Wilka.
CANNOT_SKILL_REMOVE_FISHING_ROD	Nie mogę użyć tej umiejętności z Wędką.
CANNOT_SKILL_SELF_IN_SAFE	I cannot attack from here.
CANNOT_SKILL_USE_SELF	Nie mogę tego użyć na sobie.
CANNOT_SKILL_WAIT_COOLTIME	Nie mogę jeszcze użyć tej Umiejętności.
CANNOT_SKILL_BLOCKED	This skill cannot be used here.
CANNOT_USE	You cannot use this.
CANNOT_WHISPER_DEST_REFUSE	{} zablokował możliwość szeptania.
CANNOT_WHISPER_NOT_LOGON	{} nie jest zalogowany.
CANNOT_WHISPER_SELF_REFUSE	Nie możesz pisać do innych gdy masz zablokowane szeptanie.
CATEGORY_ARMOR_ARMOR_BODY	Zbroje
CATEGORY_ARMOR_ARMOR_HEAD	Hełmy
CATEGORY_ARMOR_ARMOR_SHIELD	Tarcze
CATEGORY_COSTUMES	Kostiumy
CATEGORY_COSTUMES_COSTUME_BODY	Kostiumy
CATEGORY_COSTUMES_COSTUME_HAIR	Fryzury
CATEGORY_COSTUMES_COSTUME_WEAPON	Wizerunki broni
CATEGORY_COSTUMES_ETC	Inne
CATEGORY_COSTUMES_SASH	Szarfy
CATEGORY_DRAGON_STONE	Alchemia Smoczych Kamieni
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diament
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granat
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jadeit
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Onyks
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubin
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Szafir
CATEGORY_DRAGON_STONE_ETC	Inne
CATEGORY_EQUIPMENT_ARMOR	Wyposażenie
CATEGORY_EQUIPMENT_JEWELRY	Biżuteria
CATEGORY_EQUIPMENT_WEAPON	Broń
CATEGORY_ETC	Inne
CATEGORY_ETC_ETC	Inne
CATEGORY_ETC_EVENT	Eventowe przedmioty
CATEGORY_ETC_GIFTBOX	Skrzynie | Pudła
CATEGORY_ETC_MATRIMORY	Ślub
CATEGORY_ETC_PARTI	Księgi Sztuki Wojny
CATEGORY_ETC_POLYMORPH	Marmury polimorfii
CATEGORY_ETC_RECIPE	Wytwarzanie mikstur
CATEGORY_ETC_SEAL	Związanie duszy
CATEGORY_FISHING_PICK	Łowienie | Górnictwo
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Kilofy
CATEGORY_FISHING_PICK_ETC	Inne
CATEGORY_FISHING_PICK_FISHING_POLE	Wędki
CATEGORY_FISHING_PICK_FOOD	Ryby
