ACCE_ABSORB_COST	Pret Absorbtie: {}
ACCE_ALREADY_REGISTER	Acest obiect a fost deja folosit.
ACCE_DEL_ABSORDITEM	Absorbi obiectul, distrugandu-l inaces proces?
ACCE_DEL_SERVEITEM	Esarfa 2 va fi distrusa daca esueaza combinatia.
ACCE_DEL_SERVEITEM2	Eєarfa 2 va fi distrusг daca va eєua combinaюia.
ACCE_INITEM	Trage obiectul in fereastra.
ACCE_MAXGRADE	Acesta a fost deja personalizat.
ACCE_MAX_DRAINRATE	Max. Ratг de Absorbюie
ACCE_NOTABSORBITEM	Nu poti folosi o bucata de arma sau armura ce a fost deja absorbita.
ACCE_NOT_SEALITEM	Nu poti folosi niciun obiect personalizat.
ACCE_NOT_USINGITEM	Nu poti combina un obiect echipat.
ACCE_NOT_WINDOWOPEN	Nu poti folosi acest obiect daca fereastra folosita la combinatii este deschisa.
ACCE_POSSIBLE_ACCE	Poti folosi doar Esarfe.
ACCE_POSSIBLE_ACCEITEM	Poti extrage doar bonusurile din arme si armuri.
AFF_LOVE_POINT	Punct de dragoste: {}%
ALIGNMENT_NAME	Puncte de grad:
ATTACK_ERROR_UNKNOWN	Greєealг de atac necunoscutг: {}
ATTENDANCE_REWARD_QUESTION	Doreєti sг colectezi recompensa?
AUTO_TOOLTIP_LINE1	Abilitгюi: Alege abilitгюile de lupta єi trage-le оn locurile libere. (Premium)
AUTO_TOOLTIP_LINE2	Indiciu: Poюi schimba intervalul de activare (оn secunde) sub fiecare abilitate.
AUTO_TOOLTIP_LINE3	Licori: Alege licorile pentru luptг єi trage-le оn locurile libere. (Premium)
AUTO_TOOLTIP_LINE4	Indiciu: Licorile de PV si PM se vor activa de оndatг ce nivelul scade sub valoarea % arгtatг la fiecare licoare.
AUTO_TOOLTIP_LINE5	Indiciu: Durata altor licori este indicatг оn secunde.
AUTO_TOOLTIP_TITLE	Ajutor Atac-Automat
BATTLE_POINT	Puncte de Luptг
BEAD	Animasferг
BEAD_TIME_REMAINING_TO_GET	Animasferг оncгrcatг оn: {} min.
CANNOT_ATTACK_DEST_IN_SAFE	The combatant is too far away.
CANNOT_ATTACK_SELF_IN_SAFE	I cannot attack my opponent from here.
CANNOT_EQUIP_IN_EXCHANGE	Nu poюi schimba echipamentul cвnd negociezi.
CANNOT_EQUIP_IN_SHOP	Nu poюi schimba echipamentul cвnd negociezi.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Nu poюi deschide magazinul оntr-un spaюiu public.
CANNOT_SHOOT_DEST_IN_SAFE	The enemy is too far away.
CANNOT_SHOOT_EMPTY_ARROW	I need an arrow.
PRIVATE_SHOP_ENTER_PRICE	Set a price.
PRIVATE_SHOP_CANNOT_USE_YET	You can not use a private shop yet.
PRIVATE_SHOP_NAME_LENGTH_MIN	The shop name must be at least three characters long.
