ACCE_ABSORB_COST	Emiş fiyatı: {}
ACCE_ALREADY_REGISTER	Bu eşya zaten kullanıldı.
ACCE_DEL_ABSORDITEM	Nesneyi em ve yok et?
ACCE_DEL_SERVEITEM	Kombinasyon başarısız olursa kuşak 2 yok edilir.
ACCE_DEL_SERVEITEM2	Kombinasyon başarısız olursa kuşak 2 yok edilir.
ACCE_INITEM	Nesneleri pencereye çek.
ACCE_MAXGRADE	Bu kişiye özel üretimdir.
ACCE_MAX_DRAINRATE	Maksimum emiş oranı
ACCE_NOTABSORBITEM	Emilmiş olan bir silah veya zırhı kullanamazsın.
ACCE_NOT_SEALITEM	Ruha bağlı nesneler kullanamazsın.
ACCE_NOT_USINGITEM	Kuşanılan bir nesne kombine edilemez.
ACCE_NOT_WINDOWOPEN	Kombinasyon penceresi açıkken bu nesneyi kullanamazsın.
ACCE_POSSIBLE_ACCE	Sadece omuz kuşakları kullanabilirsin.
ACCE_POSSIBLE_ACCEITEM	Bonusu sadece silah ve zırhlardan elde edebilirsin.
AFF_LOVE_POINT	Sevgi Puanı: {}%
ALIGNMENT_NAME	Sıralaması Puanları:
ATTACK_ERROR_UNKNOWN	Bilinmeyen Saldırı Hatası: {}
ATTENDANCE_REWARD_QUESTION	Ödülünü almak ister misin?
AUTO_TOOLTIP_LINE1	Beceriler: Savaş için beceriler seç ve onları boşluklara çek. (Premium)
AUTO_TOOLTIP_LINE2	Not: Becerilerin altında etkinleştirme sıklığını (saniye olarak) ayarlayabilirsin.
AUTO_TOOLTIP_LINE3	İksirler: Savaş için iksirler seç ve onları boşluklara çek. (Premium)
AUTO_TOOLTIP_LINE4	Not: HP ve SP iksirleri iksirin altında bulunan % değerinin altına düşüldüğünde etkinleşir.
AUTO_TOOLTIP_LINE5	Not: Diğer iksirlerin süresi saniye olarak gösterilir.
AUTO_TOOLTIP_TITLE	Otomatik Av Yardımı
BATTLE_POINT	Savaş Puanları
BEAD	Animasfer
BEAD_TIME_REMAINING_TO_GET	Animasferin yüklenmesine kalan süre: {} dak.
CANNOT_ATTACK_DEST_IN_SAFE	The combatant is too far away.
CANNOT_ATTACK_SELF_IN_SAFE	I cannot attack my opponent from here.
CANNOT_EQUIP_IN_EXCHANGE	Ticaret yaparken zırhını değiştiremezsin.
CANNOT_EQUIP_IN_SHOP	Ticaret yaparken zırhını değiştiremezsin.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Genel alanda özel depo açamazsın.
PRIVATE_SHOP_ENTER_PRICE	Set a price.
PRIVATE_SHOP_CANNOT_USE_YET	You can not use a private shop yet.
PRIVATE_SHOP_NAME_LENGTH_MIN	The shop name must be at least three characters long.
PRIVATE_SHOP_NAME_LENGTH_MAX	The shop name must not be longer than 32 characters.
CANNOT_SHOOT_DEST_IN_SAFE	The enemy is too far away.
CANNOT_SHOOT_EMPTY_ARROW	I need an arrow.
CANNOT_SHOOT_SELF_IN_SAFE	I cannot attack my opponent from here.
CANNOT_SKILL_APPROACH	Eminim daha fazla yaklaşamam.
