ACCEPT	Tamam
ACCE_ABSORB	Bonus Emişi
ACCE_COMBINE	Kombinasyon
ACCE_MAIN	Kuşak 1
ACCE_RESULT	Sonuç
ACCE_SERVE	Kuşak 2
ATTACH_METIN_INFO	Zihin taşını eklemek istiyor musun?
ATTACH_METIN_TITLE	Zihin taşını ekle
ATTENDANCE_TITLE	Patron Avcısı Etkinliği
AUTO_AUTO_ATTACK	Saldır
AUTO_AUTO_POSITION	İksirler
AUTO_AUTO_RANGE	Odak
AUTO_AUTO_SKILL	Beceriler
AUTO_CLEAR	Boşalt
AUTO_END	Dur
AUTO_OFF	Kapalı
AUTO_ON	Açık
AUTO_POSITION_SETTING	İksirler
AUTO_SETTING	Ayarlar
AUTO_SKILL_SETTING	Beceriler
AUTO_START	Başla
AUTO_TITLE	Otomatik Av
BANNER_ATTENDANCE_BUTTON	Patron Avcısı Etkinliği
BANNER_CATCHKING_BUTTON	Kralı yakala
BANNER_FISH_BUTTON	BALIK YAPBOZ OYUNU
BANNER_MONSTERBACK_BUTTON	Hayat puanı kullan
BANNER_OKEY_BUTTON	Okey Etkinliği
BANNER_YUTNORI_BUTTON	Yutnori
BATTLE_FIELD_INFO	Savaş Bölgesi
BATTLE_FIELD_OPERATION_TIME	Savaş Bölgesi'ne giriş %s.00 - %s.00 arası mümkün.
BATTLE_FIELD_OPERATION_TIME_ALL	Giriş her zaman mümkün.
BATTLE_FIELD_OPERATION_TIME_END	Savaş Bölgesi %s sa. daha açık.
BATTLE_FIELD_OPERATION_TIME_NA	Giriş şu anda mümkün değil.
BATTLE_FIELD_OPERATION_TIME_OPEN	%s saat içinde %s saat boyunca giriş yapılabilir
BATTLE_FILED_RANK	Rütbe
BATTLE_FILED_RANK_EMPIRE	Krallık
BATTLE_FILED_RANK_NAME	İsim
BATTLE_FILED_RANK_POINT	Puan
CANCEL	İptal
CHANGE_PASSWORD_CONFIRM	Yeni şifreyi tekrarla
CHANGE_PASSWORD_NEW	Yeni şifre
CHANGE_PASSWORD_OLD	Eski şifre
CHANGE_PASSWORD_TITLE	Şifre Değiştir
CHARACTER_ACTION	Duygu
CHARACTER_EMOTICON	Duygu
CHARACTER_MAIN	Karakter
CHARACTER_MUTUAL_ACTION	Ortak Hareket
CHARACTER_NORMAL_ACTION	Normal Hareket
CHARACTER_QUEST	Görevler
CHARACTER_SKILL	Beceri
CHARACTER_SPECTIAL_ACTION	Özel hareketler
CHAT_FILTER	Sohbet Süzgeci
CHAT_FILTER_DICE	Zar
CLOSE	Kapat
COMB_APPEARANCE	Alıcı
COMB_ATTRIBUTE	Orijinal
COMB_MAIN	Alıcı
COMB_MATERIAL	Orijinal
COMB_SKILLBOOK_TILE	Kitap takas et
COMB_TITLE	Transmutation
COSTUME_TITLE	Kostümler
COSTUME_WINDOW_TITLE	Kostümler
CREATE_ATT_GRADE	STR
CREATE_CREATE	Oluştur
CREATE_DEX_GRADE	DEX
CREATE_HP	HP
CREATE_LAST_POINT	Puan
CREATE_MAN	Erkek
CREATE_NAME	Isim
CREATE_NEXT	Sonraki
CREATE_PREV	Önceki
CREATE_SEX	Cinsiyet
CREATE_SHAPE	Biçim
CREATE_SP	INT
CREATE_STAT_RESET	Sıfırla
CREATE_WOMAN	Kadın
CUBE_INFO_TITLE	Arındırma Kılavuzu
CUBE_REQUIRE_MATERIAL	Gerekli malzemeler:
CUBE_REQUIRE_MATERIAL_OR	veya
CUBE_TITLE	Arındırma Paneli
CURRENT_POINT	Mevcut Puan: %s
CZ_REWARD_WINDOW_TITLE	Zodyak Tapınağı
DO_REFINE	Arındır
DRAGONSOUL_ACTIVATE	Etkinleştir
DRAGONSOUL_PAGE_BUTTON_1	İşlenmemiş
DRAGONSOUL_PAGE_BUTTON_2	Yontulmuş
DRAGONSOUL_PAGE_BUTTON_3	Ender
DRAGONSOUL_PAGE_BUTTON_4	Antika
DRAGONSOUL_PAGE_BUTTON_5	Efsanevi
DRAGONSOUL_REFINE_WINDOW_TITLE	Arındırma Paneli
DRAGONSOUL_TAP_TITLE_1	Ejderha Elması
DRAGONSOUL_TAP_TITLE_2	Ejderha Yakutu
DRAGONSOUL_TAP_TITLE_3	Ejderha Yeşimi
DRAGONSOUL_TAP_TITLE_4	Ejderha Safiri
DRAGONSOUL_TAP_TITLE_5	Ejderha Grenası
DRAGONSOUL_TAP_TITLE_6	Ejderha Oniksi
DRAGONSOUL_TITLE	Ejderha Taşı Simyası
EMPIRE_EXIT	Çıkış
EMPIRE_NEXT	Sonraki
EMPIRE_PREV	Önceki
EMPIRE_SELECT	Seçim
ENTER_BATTLE_FIELD	Katıl
EXCHANGE_ACCEPT	Kabul
EXCHANGE_TITLE	Ticaret
EXIT_BATTLE_FIELD	Savaş Bölgesi'ni terk etmek istediğine emin misin?
EXIT_BATTLE_FIELD_ON_DEAD	Savaş Bölgesi'nden %d puan ile ayrılmak istiyor musun?
GAMEOPTION_TITLE	Oyun Seçenekleri
GAME_EXIT_OBSERVER	İzlemeyi Bitir
GAME_GUILD_WAR_JOIN	Lonca savaşına katıl
GAME_HELP	Yardım
GAME_QUEST	Görevler
GAME_SKILL_UP	Becerileri Geliştir
GAME_STAT_UP	Statü Geliştir
GEMSHOP_LEFTTIME	Kalan süre
GEMSHOP_TITLA	GAYA MAĞAZASI
GRADE	Sınıf
GRADE_SELECT	Sınıf
GRAPHICONOFF_DROP_ITEM_APPLY	Uygula
GRAPHICONOFF_DROP_ITEM_LEVEL	Eşya düşürme
GRAPHICONOFF_DROP_ITEM_LEVEL1	1
GRAPHICONOFF_DROP_ITEM_LEVEL1_TOOLTIP	Efekt ve ismi göster
GRAPHICONOFF_DROP_ITEM_LEVEL2	2
GRAPHICONOFF_DROP_ITEM_LEVEL2_TOOLTIP	Efekti gizle
GRAPHICONOFF_DROP_ITEM_LEVEL3	3
GRAPHICONOFF_DROP_ITEM_LEVEL3_TOOLTIP	Efekt ve ismi gizle
GRAPHICONOFF_DROP_ITEM_LEVEL4	4
GRAPHICONOFF_DROP_ITEM_LEVEL4_TOOLTIP	Eşyaları gizle ve isim fare üzerinden
GRAPHICONOFF_DROP_ITEM_LEVEL5	5
GRAPHICONOFF_DROP_ITEM_LEVEL5_TOOLTIP	Eşyaları gizle ve ismi gösterme
GRAPHICONOFF_EFFECT_APPLY	Uygula
GRAPHICONOFF_EFFECT_LEVEL	Efektler
GRAPHICONOFF_EFFECT_LEVEL1	1
GRAPHICONOFF_EFFECT_LEVEL1_TOOLTIP	Tümünü göster
GRAPHICONOFF_EFFECT_LEVEL2	2
GRAPHICONOFF_EFFECT_LEVEL2_TOOLTIP	Sadece benimkileri ve canavar efektlerini
GRAPHICONOFF_EFFECT_LEVEL3	3
GRAPHICONOFF_EFFECT_LEVEL3_TOOLTIP	Sadece benimkileri ve diğer oyuncu efektlerini
GRAPHICONOFF_EFFECT_LEVEL4	4
GRAPHICONOFF_EFFECT_LEVEL4_TOOLTIP	Sadece benimkileri göster
GRAPHICONOFF_EFFECT_LEVEL5	5
GRAPHICONOFF_EFFECT_LEVEL5_TOOLTIP	Hiçbirini gösterme
GRAPHICONOFF_NPC_NAME_STATUS	YZK isimleri
GRAPHICONOFF_NPC_NAME_STATUS_OFF	Kapalı
GRAPHICONOFF_NPC_NAME_STATUS_OFF_TOOLTIP	YZK isimlerini gizle
GRAPHICONOFF_NPC_NAME_STATUS_ON	Alıcı
GRAPHICONOFF_NPC_NAME_STATUS_ON_TOOLTIP	YZK isimlerini görüntüle
GRAPHICONOFF_PET_STATUS	Petler
GRAPHICONOFF_PET_STATUS_OFF	Kapalı
GRAPHICONOFF_PET_STATUS_OFF_TOOLTIP	Peti gizle
GRAPHICONOFF_PET_STATUS_ON	Açık
GRAPHICONOFF_PET_STATUS_ON_TOOLTIP	Peti göster
GRAPHICONOFF_PRIVATE_SHOP_APPLY	Uygula
GRAPHICONOFF_PRIVATE_SHOP_LEVEL	Özel dükkanlar
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1	1
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1_TOOLTIP	Tümünü göster
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2	2
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2_TOOLTIP	Geniş çevredeki tümünü göster
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3	3
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3_TOOLTIP	Orta çevredeki tümünü göster
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4	4
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4_TOOLTIP	Yakın çevredeki tümünü göster
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5	5
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5_TOOLTIP	Direkt çevredeki tümünü göster
GUILDWINDOW_BASE_BUFF	Lonca bonusu
GUILD_BANKINFO_CLOSE	Kapat
GUILD_BANKINFO_NAME	Üye
GUILD_BANKINFO_TITLE	Lonca deposu geçmişi
GUILD_BANKINFO_TYPE	Nesne/Para birimi
GUILD_BANKINFO_USETYPE	Eylem
GUILD_BANK_CLOSE	Kapat
GUILD_BANK_INFO	Depo s.:
GUILD_BANK_NUMBER	Banka no.
GUILD_BASEINFO_BANK	Lonca deposu
GUILD_BASEINFO_BANKLASTOUT	Son eşya alımı
GUILD_BASEINFO_BUILDING	Lonca binası
GUILD_BASEINFO_DEAL	Lonca bölgesini sat
GUILD_BASEINFO_FACTORY	Lonca demircisi
GUILD_BASEINFO_GOLDMANAGE	İşlem
GUILD_BASEINFO_GUILDLAND	Lonca bölgesi
GUILD_BASEINFO_LANDABANDON	Lonca bölgesini dağıt
GUILD_BASEINFO_LANDSCAPE	Diğer
GUILD_BASEINFO_LOCALE	Konum
GUILD_BASEINFO_MONEY	Hesap bakiyesi
GUILD_BASEINFO_MONEYBANKINFO	Lonca bankası bilgisi
GUILD_BASEINFO_MONEYIN	Yatır
GUILD_BASEINFO_MONEYLASTOUT	Son para çekme
GUILD_BASEINFO_MONEYOUT	Öde
GUILD_BASEINFO_POWER	Güç Sunağı
GUILD_BASEINFO_SMEITER	Lonca simyacısı
GUILD_BASEINFO_TITLE	Bölge bilgileri
GUILD_BASEINFO_VOTE	Anket
GUILD_BASENAME	Temel isim
GUILD_BOARD_ID	Isim
GUILD_BOARD_REFRESH	Yenile
GUILD_BOARD_TEXT	Mesaj
GUILD_BUILDING_CATEGORY_TITLE	İnşaat Birimleri
GUILD_BUILDING_CHANGE	Değiştir
GUILD_BUILDING_CHANGE_DELETE	Sil
GUILD_BUILDING_CHANGE_FIX	Lonca değişikliği
GUILD_BUILDING_CHANGE_LIST	Lonca nesneleri listesi
GUILD_BUILDING_DIRECTION	Yön
GUILD_BUILDING_FIX	Değiştir
GUILD_BUILDING_GRADE	Sıra
GUILD_BUILDING_INFO	Yapılar ve masraf bilgileri
GUILD_BUILDING_LIST_TITLE	Bina Listesi
GUILD_BUILDING_LOG	dilb kök
GUILD_BUILDING_NAME	Bina ismi
GUILD_BUILDING_OPERATE	Yönet
GUILD_BUILDING_PLY	Kontrplak
GUILD_BUILDING_POSITION	Pozisyon
GUILD_BUILDING_PREVIEW	Önizleme
GUILD_BUILDING_PRICE	Fiyat
GUILD_BUILDING_REFRESH	Yenile
GUILD_BUILDING_STONE	Taş
GUILD_BUILDING_TITLE	Lonca Meclis Binaları
GUILD_CRYSTAL	Kristal
GUILD_DEPOSIT	Depozit
GUILD_DRAGONLAIR_RANKING	En İyiler Listesi
GUILD_DRAGONLAIR_RANKING_COUNT	Sıra
GUILD_DRAGONLAIR_RANKING_MEMBER	Üyeler
GUILD_DRAGONLAIR_RANKING_NAME	Lonca
GUILD_DRAGONLAIR_RANKING_TIME	Zaman
GUILD_DROP_RESOURCE1	Burada
GUILD_DROP_RESOURCE2	Düşen Kaynak
GUILD_GEM	Değerli Taş
GUILD_GRADE_CHANGE_GRADE_NAME	Yeni rütbe ismi
GUILD_GRADE_NUM	No.
GUILD_GRADE_PERMISSION_BANK	Lonca
GUILD_GRADE_PERMISSION_DELETE	çıkar
GUILD_GRADE_PERMISSION_JOIN	alabilir
GUILD_GRADE_PERMISSION_NOTICE	asabilir
GUILD_GRADE_PERMISSION_SKILL	becerileri
GUILD_GRADE_PERMISSION_WAR	Savaşçı olarak katılan üyeleri seçebilir.
GUILD_GRADE_RANK	Sıra
GUILD_GRADE_WRITE	Yaz
GUILD_INFO	Lonca Bilgisi
GUILD_INFO_CUR_EXP	Tecrübe
