VNUM	NAME	RANK	TYPE	BATTLE_TYPE	LEVEL	SIZE	AI_FLAG	MOUNT_CAPACITY	RACE_FLAG	IMMUNE_FLAG	EMPIRE	FOLDER	ON_CLICK	ST	DX	HT	IQ	DAMAGE_MIN	DAMAGE_MAX	MAX_HP	REGEN_CYCLE	REGEN_PERCENT	GOLD_MIN	GOLD_MAX	EXP	DEF	ATTACK_SPEED	MOVE_SPEED	AGGRESSIVE_HP_PCT	AGGRESSIVE_SIGHT	ATTACK_RANGE	DROP_ITEM	RESURRECTION_VNUM	ENCHANT_CURSE	ENCHANT_SLOW	ENCHANT_POISON	ENCHANT_STUN	ENCHANT_CRITICAL	ENCHANT_PENETRATE	RESIST_SWORD	RESIST_TWOHAND	RESIST_DAGGER	RESIST_BELL	RESIST_FAN	RESIST_BOW	RESIST_FIRE	RESIST_ELECT	RESIST_MELEE	RESIST_WIND	RESIST_POISON	RESIST_BLEEDING	DAM_MULTIPLY	SUMMON	DRAIN_SP	MOB_COLOR	POLYMORPH_ITEM	SKILL_LEVEL0	SKILL_VNUM0	SKILL_LEVEL1	SKILL_VNUM1	SKILL_LEVEL2	SKILL_VNUM2	SKILL_LEVEL3	SKILL_VNUM3	SKILL_LEVEL4	SKILL_VNUM4	SP_BERSERK	SP_STONESKIN	SP_GODSPEED	SP_DEATHBLOW	SP_REVIVE	DESPAWN_TIME
101	??	PAWN	MONSTER	MELEE	55	100		0	ANIMAL		0	stray_dog	0	3	6	5	2	20	24	126	6	7	250	250	47200	4	100	200	0	2000	125	200101	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	1.0	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	??	PAWN	MONSTER	MELEE	55	100		0	ANIMAL		0	wolf	0	4	9	7	2	23	28	162	6	7	250	250	47200	6	100	200	25	2000	125	200102	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	1.0	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	??	PAWN	MONSTER	MELEE	55	100		0	ANIMAL		0	wolf	0	8	5	10	3	25	30	182	6	7	250	250	47200	7	100	200	25	2000	125	200103	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	1.0	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	??	PAWN	MONSTER	MELEE	55	100		0	ANIMAL		0	wolf	0	9	12	6	3	25	38	225	6	7	250	250	47200	9	100	200	25	2000	125	200104	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	1.0	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	??	PAWN	MONSTER	MELEE	55	100		0	ANIMAL		0	wolf	0	14	8	16	4	33	41	297	6	7	250	250	47200	13	80	200	25	2000	125	200105	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	1.0	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	??	PAWN	MONSTER	MELEE	55	100		0	ANIMAL		0	wolf	0	21	21	10	5	40	49	412	6	7	250	250	47200	17	100	200	25	2000	125	200106	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	1.0	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	??	S_PAWN	MONSTER	MELEE	55	100		0	ANIMAL		0	wolf	0	23	24	12	6	45	55	614	6	12	250	250	47200	20	80	200	25	2000	125	200107	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	1.0	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	??	PAWN	MONSTER	MELEE	55	100		0	ANIMAL		0	wild_boar	0	14	7	10	3	30	37	248	6	7	250	250	47200	11	80	200	30	2000	125	200108	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	1.0	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	??	S_PAWN	MONSTER	MELEE	55	100		0	ANIMAL		0	wild_boar	0	22	9	13	4	35	43	389	3	7	250	250	47200	14	80	200	30	2000	125	200109	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	1.0	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	??	PAWN	MONSTER	POWER	55	100		0	ANIMAL		0	bear	0	20	10	20	5	39	47	381	6	7	250	250	47200	16	100	200	40	2000	125	200110	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	1.0	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111	??	S_PAWN	MONSTER	TANKER	55	100		0	ANIMAL		0	bear	0	14	17	34	6	44	53	572	6	7	250	250	47200	19	100	200	40	2000	125	200111	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	1.0	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	??	PAWN	MONSTER	POWER	55	100		0	ANIMAL		0	bear	0	36	14	21	7	50	62	624	6	7	250	250	47200	24	100	200	40	2000	125	200112	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	1.0	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	??	S_PAWN	MONSTER	POWER	55	100		0	ANIMAL		0	bear	0	35	15	23	8	54	66	845	6	12	250	250	47200	26	100	200	40	2000	125	200113	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	1.0	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114	??	PAWN	MONSTER	POWER	55	100		0	ANIMAL		0	tiger	0	18	20	27	7	49	60	585	6	12	250	250	47200	22	100	200	50	2000	125	200114	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	1.0	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115	??	S_PAWN	MONSTER	POWER	55	100		0	ANIMAL		0	tiger	0	25	17	45	9	59	72	1007	10	22	250	250	47200	29	100	200	50	2000	125	200115	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	1.0	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131	??	KNIGHT	MONSTER	MELEE	55	100	AGGR	0	ANIMAL	CURSE	0	wolf	0	16	16	31	8	32	39	435	6	7	250	250	47200	12	100	200	100	2000	125	200131	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	1.0	0	0	16764159	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	??	S_KNIGHT	MONSTER	MELEE	55	100	AGGR	0	ANIMAL	CURSE	0	wolf	0	23	24	31	8	33	41	743	6	7	250	250	47200	13	100	200	100	2000	125	200132	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	2.0	0	0	16764159	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133	??	KNIGHT	MONSTER	MELEE	55	100	AGGR	0	ANIMAL	CURSE	0	wolf	0	16	16	32	8	37	45	564	6	7	250	250	47200	15	100	200	100	2000	125	200133	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	1.0	0	0	16764159	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134	??	S_KNIGHT	MONSTER	MELEE	55	100	AGGR	0	ANIMAL	CURSE	0	wolf	0	24	33	32	8	42	51	1110	6	7	250	250	47200	18	100	200	100	2000	125	200134	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	2.0	0	0	16764159	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135	??	KNIGHT	MONSTER	MELEE	55	100	AGGR	0	ANIMAL	CURSE	0	wolf	0	17	25	25	8	49	60	936	6	7	250	250	47200	22	100	200	100	2000	125	200135	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	1.0	0	0	16764159	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	??	S_KNIGHT	MONSTER	MELEE	55	100	AGGR	0	ANIMAL	CURSE	0	wolf	0	33	17	17	8	42	78	1761	6	12	250	250	47200	26	100	200	100	2000	125	200136	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	2.0	0	0	16764159	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137	??	KNIGHT	MONSTER	MELEE	55	100	AGGR	0	ANIMAL	CURSE	0	wild_boar	0	35	17	26	9	30	56	610	6	7	250	250	47200	16	100	200	100	2000	125	200137	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	1.0	0	0	16764159	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138	??	S_KNIGHT	MONSTER	MELEE	55	100	AGGR	0	ANIMAL	CURSE	0	wild_boar	0	35	18	26	9	44	53	1192	6	7	250	250	47200	19	100	200	100	2000	125	200138	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	2.0	0	0	16764159	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139	??	KNIGHT	MONSTER	MELEE	55	100	AGGR	0	ANIMAL	CURSE	0	bear	0	36	18	27	9	37	68	875	6	7	250	250	47200	21	100	200	100	2000	125	200139	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	1.0	0	0	16764159	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140	??	S_KNIGHT	MONSTER	TANKER	55	100	AGGR	0	ANIMAL	CURSE	0	bear	0	36	19	27	9	52	64	1659	6	7	250	250	47200	25	100	200	100	2000	125	200140	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	2.0	0	0	16764159	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141	??	KNIGHT	MONSTER	TANKER	55	100	AGGR	0	ANIMAL	CURSE	0	bear	0	37	19	28	9	46	85	1342	6	7	250	250	47200	29	100	200	100	2000	125	200141	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	1.0	0	0	16764159	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142	??	S_KNIGHT	MONSTER	TANKER	55	100	AGGR	0	ANIMAL	CURSE	0	bear	0	37	19	28	9	62	76	2342	4	12	250	250	47200	31	100	200	100	2000	125	200142	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	2.0	0	0	16764159	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143	??	KNIGHT	MONSTER	POWER	55	100	AGGR	0	ANIMAL	CURSE	0	tiger	0	28	38	19	9	52	79	1342	6	12	250	250	47200	29	100	200	100	2000	125	200143	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	1.0	0	0	16764159	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144	??	S_KNIGHT	MONSTER	POWER	55	100	AGGR	0	ANIMAL	CURSE	0	tiger	0	39	30	20	10	53	98	2685	9	22	250	250	47200	34	100	200	100	2000	125	200144	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	2.0	0	0	16764159	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151	??	S_KNIGHT	MONSTER	MELEE	55	100		0	ANIMAL		0	wolf	0	14	8	16	4	33	41	450	6	5	250	250	47200	15	80	200	25	2000	125	200151	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	2.0	0	0	13434828	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
152	??	S_KNIGHT	MONSTER	MELEE	55	100		0	ANIMAL		0	wolf	0	23	24	12	6	45	55	800	8	10	250	250	47200	25	80	200	25	2000	125	200152	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	2.0	0	0	13434828	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
153	??	S_KNIGHT	MONSTER	MELEE	55	100		0	ANIMAL		0	wild_boar	0	22	9	13	4	35	43	600	6	5	250	250	47200	15	80	200	30	2000	125	200153	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	2.0	0	0	13434828	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
154	??	S_KNIGHT	MONSTER	POWER	55	100		0	ANIMAL		0	bear	0	35	15	23	8	54	66	1000	8	10	250	250	47200	26	100	200	40	2000	125	200154	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	2.0	0	0	13434828	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155	??	S_KNIGHT	MONSTER	POWER	55	100	AGGR	0	ANIMAL		0	tiger	0	25	17	45	9	59	72	1200	15	20	250	250	47200	29	100	200	50	2000	125	200155	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	2.0	0	0	13434828	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
171	??	PAWN	MONSTER	MELEE	55	100		0	ANIMAL		0	stray_dog	0	3	6	5	2	24	29	101	6	7	250	250	47200	4	100	200	0	2000	125	200171	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	1.0	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172	??	PAWN	MONSTER	MELEE	55	100		0	ANIMAL		0	wolf	0	4	9	7	2	28	34	129	6	7	250	250	47200	6	100	200	25	2000	125	200172	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	1.0	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
173	??	PAWN	MONSTER	MELEE	55	100		0	ANIMAL		0	wolf	0	8	5	10	3	30	36	145	6	7	250	250	47200	7	100	200	25	2000	125	200173	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	100	0	1.0	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
