%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Du musst %d weitere Fertigkeitsbücher lesen, um diese Fertigkeit zu verbessern. 
%d 냥을 투자하셨습니다.	Du hast %d Yang investiert. 
%d 냥을 획득하셨습니다.	Du hast %d Yang gewonnen. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Du musst Level %d erreichen, um dein Haar wieder färben zu können. 
%d 분 %d 초 동안 채팅금지 상태입니다	Deine Chat-Sperre dauert noch %d Minuten %d Sekunden. 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	Deine Chat-Sperre dauert noch %d Stunden %d Minuten %d Sekunden. 
%d 시간 %d 초 동안 채팅금지 상태입니다	Deine Chat-Sperre dauert noch %d Stunden %d Sekunden 
%d 종류 %d 마리 낚음	Du hast %d von %d gefangen. 
%d 초 동안 채팅금지 상태입니다	Deine Chat-Sperre dauert noch %d Sekunden 
%d 초 후에 군주의 축복을 사용할 수 있습니다	Nach %d Sekunden kann der Segen des Kaisers verwendet werden. 
%d 초간 쿨타임이 적용중입니다.	Cooldown-Zeit ungefähr %d Sekunden 
%d 초후 목적지로 이동됩니다.	%d Sekunden nach dem Ausführen kommst du zu dem Bestimmungsort. 
%d%% 확률로 관통 공격	Durchdringender Angriff mit einer Chance von %d%% 
%d%% 확률로 적퇴치시 경험치 추가 상승	Erfahrungserhöhung von %d%% bei einem Sieg über den Gegner. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Erhöhung des erbeuteten Yang um %d%% bei einem Sieg über den Gegner. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% Chance, nach dem Sieg über einen Gegner Trefferpunkte aufzufüllen. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Erhöhung der erbeuteten Gegenstände um %d%% bei einem Sieg über den Gegner. 
%d%% 확률로 적퇴치시 정신력 회복	Manaerhöhung von %d%% bei einem Sieg über den Gegner. 
%d%% 확률로 치명타 공격	Kritischer Angriff mit einer Chance von %d%% 
%d%% 확률로 타격시 상대 전신력 소모	Mit einer Wahrscheinlickeit von %d%% wird Mana vom Gegner genommen. 
%d%% 확률로 피해시 정신력 회복	Absorb mit einer Wahrscheinlichkeit von %d%% Mana. 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d Spielzeit wird deinem Konto hinzugefügt. (Zahlung Nr. %d) 
%d의 경험치를 획득했습니다.	Du hast %d Erfahrungspunkte erhalten. 
%d초 남았습니다.	%d Sekunden bis zum Beenden. 
%d초 만큼 충전되었습니다.	%d Sekunden wurden aufgeladen. 
%d초 후 게임이 셧다운 됩니다.	Nach %d Sekunden wird das Spiel beendet. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s FP-Verbrauch: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s killcount %d mobkillcount %d bosskillcount %d Zahl heiligen Boden %d 
%s 군주 후보에서 삭제하였습니다	%s ist als Kaiserkandidat gelöscht. 
%s 군주로 입명 했습니다.	%s ist als Kaiser nominiert. 
%s 군주르 제거 하였습니다..	Der %s Kaiser wird entfernt. 
%s 군주를 제거 할수 없습니다.	Der %s Kaiser kann nicht entfernt werden. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	Die Gilde %s hat der Gilde %s den Krieg erklärt! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	%s hat den Gildenkrieg gegen %s gewonnen. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s hat die Fahne von %s erobert! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	Der Gildenkrieg zwischen %s und %s endet unentschieden. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	Der Gildenkrieg zwischen %s und %s wurde abgebrochen. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	Der Gildenkrieg zwischen %s und %s beginnt in wenigen Minuten! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	Der Gildenkrieg zwischen %s und %s hat begonnen! 
%s 길드의 %s이 %d%% 증가했습니다!	%s der Gilde %s ist um %d%% angestiegen! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s der Gilde %s hat sich normalisiert. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	Die Flagge der Gilde %s wurde von Spieler %s gestohlen. 
%s 는 군주 후보가 아닙니다.	%s ist kein Kandidat für die Kaiserwahl. 
%s 는 군주로 입명할수 없습니다 .	%s kann nicht als Kaiser nominiert werden. 
%s 님과의 교환이 성사 되었습니다.	Der Handel mit %s wurde erfolgreich durchgeführt. 
%s 님에게 파티가입 신청을 했습니다.	Du möchtest der Gruppe von %s beitreten. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s hat die Einladung abgelehnt. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	Der Spieler %s befindet sich gerade auf Channel %d. (Dein Channel: %d) 
%s 님은 접속되 있지 않습니다.	%s ist nicht online. 
%s 님은 정상적으로 출마를 하였습니다.	%s Spieler ist schon in der Wahl. 
%s 님을 소환하였습니다.	Du hast %s Spieler rekrutiert. 
%s 님이 대련에서 승리하였습니다.	%s hat das Duell gewonnen. 
%s 님이 승리하였습니다.	%s hat gewonnen. 
%s 블럭! (%d%%)	%s blocken! (%d%%) 
%s 아이템 을 획득하셨습니다	Du hast %s Gegenstand gewonnen. 
%s 아이템이 필요합니다	Du brauchst %s. 
%s 에게로 이동합니다	Warpen zu Spieler %s. 
%s 회피! (%d%%)	%s ausweichen! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Diese Gilde existiert nicht. 
%s[%d]가 공격 위치: %d %d	%s[%d]s Angriffsposition: %d %d 
%s님과의 대결 시작!	Der Kampf mit %s hat begonnen! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s hat dich zum Kampf aufgefordert! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s hat gewürfelt. Das Ergebnis lautet: %d (%d-%d). 
%s를 구웠습니다.	Du röstest %s über dem Feuer. 
%s에 박혀있던 보석이 사라집니다.	Ein Edelstein aus %s ist verschwunden. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	Ein Lagerfeuer wurde bei %s entzündet, um vor einer Schlacht zu warnen. 
%s에게 대결신청을 했습니다.	Du hast %s zum Kampf aufgefordert. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Es gibt in %s einen Krieg um die Leuchtfeuer zu entzünden. 
%s에서 소켓 빠질때까지 남은 시간 %d	Bis zur Fassungsentfernung von %s verbleibende Zeit: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s ist um %d%% angestiegen! 
%s의 %s이 정상으로 돌아왔습니다.	%s 's %s hat sich normalisiert. 
%s의 군주가 %s 님으로 교체되었습니다.	Der Kaiser von %s wurde geändert in %s. 
%s이 모든 봉화를 파괴하였습니다.	%s hat alle Lagerfeuer zerstört. 
%s이 봉화를 파괴했습니다.	%s hat das Lagerfeuer zerstört. 
%s이 수성에 성공했습니다.	%s ist die Verteidigung gelungen. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s hat den Krieg verloren, da sie das Schloss nicht verteidigen konnten. 
%s이 필요합니다.	Für diese Aktion benötigst du: %s 
(%s) 길드가 생성되었습니다. [임시]	(%s) wurde erstellt. [Temporär] 
(만료일 : %d년 %d월 %d일)	(Ablauf: %d j- %d m - %d t) 
. 너희가 성지의 수호자를 잡게 된다면 너희는 성지의 주인이 된다.[ENTER][ENTER] 	Wenn ihr den Wächter des Heiligen Platzes besiegt, seid ihr Besitzer des Heiligen Platzes. 
1-50 사이의 수치를 선택해주세요	Wähle eine Zahl zwischen 1 und 50. 
10초뒤 다음 판을 시작합니다.	In 10 Sekunden beginnt die nächste Runde. 
10초뒤 대련이 시작됩니다.	Der Kampf beginnt in 10 Sekunden. 
10초뒤 마을로 되돌아갑니다.	In 10 Sekunden wirst du in die Stadt teleportiert. 
10초뒤 마을로 이동합니다.	In 10 Sekunden wirst du in die Stadt teleportiert. 
10초뒤 판정하겠습니다.	Das Ergebnis folgt in 10 Sekunden. 
10초후 자동으로 접속이 종료되며,	In 10 Sekunden wirst du automatisch getrennt. 
1분 이내에 아무도 접속하지 않으면 길드전이 자동 종료됩니다.	Findet sich kein Gegner, wird der Gildenkrieg automatisch beendet. 
20억 냥을 초과하여 상점을 열수가 없습니다	Du hast mehr als 2 Milliarden Yang bei dir. Deshalb kannst du nicht handeln. 
20억냥이 초과하여 물품을 팔수 없습니다.	Du hast mehr als 2 Milliarden Yang bei dir. Deshalb kannst du nicht handeln. 
30분이 경과했습니다.. 봉화가 사라집니다.	30 Minuten sind vorbei. Die Lagerfeuer sind verschwunden. 
5분 후에 정상적으로 접속하실수 있습니다.	Du kannst dich nach 5 Minuten verbinden. 
5초 뒤 틀리신 분들을 바깥으로 이동 시키겠습니다.	Nach 5 Sek. werden alle Teilnehmer entfernt, die eine falsche Antwort gegeben haben. 
<길드> %d 스킬을 사용함 (%d, %d) to %u	<Gilde> %d-Fertigkeit wurde angewendet (%d, %d) auf %u. 
<길드> %s 길드가 길드전을 거부하였습니다.	<Gilde> %s hat den Gildenkrieg abgelehnt. 
<길드> %u의 경험치를 투자하였습니다.	<Gilde> %u Erfahrungspunkte eingesetzt. 
<길드> %u의 용신력을 회복하였습니다.	<Gilde> %u Punkte Drachengeist wurden wiederhergestellt. 
<길드> [%s] 길드가 생성되었습니다.	<Gilde> [%s] wurde erstellt. 
<길드> 가지고 있는 돈이 부족합니다.	<Gilde> Du hast nicht genügend Yang dabei. 
<길드> 경험치 투자에 실패하였습니다.	<Gilde> Erfahrungseinsatz fehlgeschlagen. 
<길드> 공지글을 작성할 권한이 없습니다.	<Gilde> Du bist nicht berechtigt, eine Ankündigung zu machen. 
<길드> 그러한 사람을 찾을 수 없습니다.	<Gilde> Die gesuchte Person kann nicht gefunden werden. 
<길드> 그런 길드가 없습니다.	<Gilde> Es gibt keine Gilde dieses Namens. 
<길드> 길드 금고에선 길드장만 출금할 수 있습니다.	<Gilde> Nur der Gildenleiter kann Yang abheben. 
<길드> 길드 생성에 실패하였습니다.	<Gilde> Erstellen der Gilde fehlgeschlagen. 
<길드> 길드 스킬 레벨을 변경할 권한이 없습니다.	<Gilde> Du bist nicht berechtigt, das Level der Gildenfertigkeiten zu ändern. 
<길드> 길드 스킬은 길드전 중에만 사용할 수 있습니다.	<Gilde> Diese Gildenfertigkeit kann nur im Krieg benutzt werden. 
<길드> 길드 이름이 적합하지 않습니다.	<Gilde> Der Gildenname ist ungültig. 
<길드> 길드가 이미 최고 레벨입니다.	<Gilde> Deine Gilde hat das Level-Maximum bereits erreicht. 
<길드> 길드를 생성할 수 없습니다.	<Gilde> Du kannst keine Gilde erstellen. 
<길드> 길드를 해산한 지 %d일이 지나지 않은 사람은 길드에 초대할 수 없습니다.	<Gilde> Nach einer Umgestaltung kannst du erst nach %d Tagen wieder neue Mitglieder einladen. 
<길드> 길드에 속해있지 않습니다.	<Gilde> Es gehört nicht der Gilde. 
<길드> 길드원 %s 님을 강제 탈퇴 시켰습니다.	<Gilde> Gildenmitglied %s wurde von der Gilde ausgeschlossen. 
<길드> 길드원을 강제 탈퇴 시켰습니다.	<Gilde> Du hast ein Gildenmitglied entlassen. 
<길드> 길드원을 강제 탈퇴 시킬 권한이 없습니다.	<Gilde> Du bist nicht berechtigt, Gildenmitglieder zu entlassen. 
<길드> 길드원을 초대할 권한이 없습니다.	<Gilde> Du bist nicht berechtigt, jemanden in die Gilde einzuladen. 
<길드> 길드장으로 직위를 변경할 수 없습니다.	<Gilde> Du kannst dich nicht selbst zum Gildenleiter ernennen. 
<길드> 길드장의 권한은 변경할 수 없습니다.	<Gilde> Die Rechte des Gildenleiters können nicht verändert werden. 
<길드> 길드장의 직위 이름은 변경할 수 없습니다.	<Gilde> Die Rechte des Gildenleiters können nicht verändert werden. 
<길드> 길드장의 직위는 변경할 수 없습니다.	<Gilde> Die Stellung des Gildenleiters kann nicht geändert werden. 
<길드> 길드전에 대한 권한이 없습니다.	<Gilde> Ein Gildenkrieg ist nicht gerechtfertigt. 
<길드> 길드전을 하기 위해선 최소한 %d명이 있어야 합니다.	<Gilde> Es werden mindestens %d Spieler benötigt, um an einem Gildenkrieg teilzunehmen. 
<길드> 길드전이 취소 되었습니다.	<Gilde> Der Gildenkrieg wurde abgebrochen. 
<길드> 길드전중에는 사냥에 따른 이익이 없습니다.	<Gilde> Während eines Gildenkrieges gibt es keine Erfahrungspunkte für die Jagd. 
<길드> 다른 제국 사람을 길드에 초대할 수 없습니다.	<Gilde> Spieler aus einem anderen Reich können nicht in die Gilde eingeladen werden. 
<길드> 더이상 장수를 지정할 수 없습니다.	<Gilde> Du kannst keine weiteren Gildenleiter auswählen. 
<길드> 돈이 부족합니다.	<Gilde> Nicht genügend Yang. 
<길드> 래더 점수가 %d 점이 되었습니다	<Gilde> Die Gilde hat %d Punkte erreicht. 
<길드> 레더 점수가 모자라서 길드전을 할 수 없습니다.	<Gilde> Das Gildenlevel ist zu niedrig, um an einem Gildenkrieg teilzunehmen. 
<길드> 삭제할 수 없는 글입니다.	<Gilde> Die Nachricht kann nicht gelöscht werden. 
<길드> 상대가 %d 채널에 있습니다. (현재 채널 %d)	<Gilde> Der Spieler ist in Channel %d. (Aktueller Channel: %d) 
<길드> 상대가 온라인 상태가 아닙니다.	<Gilde> Der Spieler ist nicht online. 
<길드> 상대방 길드가 이미 전쟁 중 입니다.	<Gilde> Die Gilde ist bereits im Krieg. 
<길드> 상대방 길드의 길드원 수가 부족하여 길드전을 할 수 없습니다.	<Gilde> Die Gilde hat nicht genug Mitglieder, um an einem Gildenkrieg teilzunehmen. 
<길드> 상대방 길드의 길드장이 접속중이 아닙니다.	<Gilde> Der Gildenleiter des Gegners ist offline. 
<길드> 상대방 길드의 레더 점수가 모자라서 길드전을 할 수 없습니다.	<Gilde> Die Gilde hat nicht genügend Punkte, um an einem Gildenkrieg teilzunehmen. 
<길드> 상대방 길드의 전비가 부족하여 길드전을 할 수 없습니다.	<Gilde> Die Gilde hat nicht genug Yang, um an einem Gildenkrieg teilzunehmen. 
<길드> 상대방이 같은 길드가 아닙니다.	<Gilde> Die Person gehört nicht derselben Gilde an. 
<길드> 상대방이 길드 초대 거부 상태입니다.	<Gilde> Der Spieler lehnt die Gildeneinladung ab. 
<길드> 상대방이 이미 다른 길드에 속해있습니다.	<Gilde> Die Person gehört bereits einer anderen Gilde an. 
<길드> 상대방이 초대 신청을 받을 수 없는 상태입니다.	<Gilde> Dein Gegenüber kann die Einladung nicht erhalten. 
