%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	You have to read %d more skill books to improve this skill. 
%d 냥을 투자하셨습니다.	You have invested %d Yang. 
%d 냥을 획득하셨습니다.	You have won %d Yang. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	You need to have reached level %d to be able to dye your hair again. 
%d 분 %d 초 동안 채팅금지 상태입니다	%d minutes %d seconds left on your chat block 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	%d hours %d minutes %d seconds left on your chat block 
%d 시간 %d 초 동안 채팅금지 상태입니다	%d hours %d seconds left on your chat block 
%d 종류 %d 마리 낚음	You have caught %d of %d . 
%d 초 동안 채팅금지 상태입니다	%d seconds left on your chat block 
%d 초 후에 군주의 축복을 사용할 수 있습니다	After %d seconds you can use the Emperors Blessing. 
%d 초간 쿨타임이 적용중입니다.	Cooldown time for approximately %d seconds 
%d 초후 목적지로 이동됩니다.	You'll reach your destination in %d seconds. 
%d%% 확률로 관통 공격	Chance of a Speared Attack of %d%% 
%d%% 확률로 적퇴치시 경험치 추가 상승	Experience increases by %d%% if you win against an opponent. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Increase of Yang up to %d%% if you win. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% Chance of filling up Hit Points after a victory. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Increase of captured Items up to %d%% if you win. 
%d%% 확률로 적퇴치시 정신력 회복	Spell Points (SP) will be increased by %d%% if you win. 
%d%% 확률로 치명타 공격	Critical Attack with a chance of %d%% 
%d%% 확률로 타격시 상대 전신력 소모	With a chance of %d%% Spell Points (SP) will be taken from the enemy. 
%d%% 확률로 피해시 정신력 회복	Absorbing of Spell Points (SP) with a chance of %d%% 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d Playtime added to your account. (Payment number %d) 
%d의 경험치를 획득했습니다.	You have received %d experience points. 
%d초 남았습니다.	%d seconds until Exit. 
%d초 만큼 충전되었습니다.	%d seconds have been added. 
%d초 후 게임이 셧다운 됩니다.	The game will be closed in %d seconds. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s FP-Consumption: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s killcount %d mobkillcount %d bosskillcount %d Number Holy Land %d 
%s 군주 후보에서 삭제하였습니다	%s is deleted as an Emperor Candidate. 
%s 군주로 입명 했습니다.	%s has been nominated as emperor. 
%s 군주르 제거 하였습니다..	The %s Emperor gets driven out. 
%s 군주를 제거 할수 없습니다.	The %s Emperor cannot be driven out. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	The guild %s has declared war on %s! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	%s has won the guild war against %s. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s has captured the flag of %s! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	The guild war between %s and %s has ended in a draw. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	The guild war between %s and %s has been cancelled. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	The guild war between %s and %s will start in a few minutes! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	The guild war between %s and %s has begun! 
%s 길드의 %s이 %d%% 증가했습니다!	%s of the Guild %s raised up to %d%% ! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s of the Guild %s normal again. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	The guild %s's flag has been stolen by player %s. 
%s 는 군주 후보가 아닙니다.	%s is not a candidate for the emperor elections. 
%s 는 군주로 입명할수 없습니다 .	%s cannot be nominated as emperor. 
%s 님과의 교환이 성사 되었습니다.	The trade with %s has been successful. 
%s 님에게 파티가입 신청을 했습니다.	You want to join %s's group. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s declined the invitation. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	The player %s is on channel %d at the moment. (Your channel: %d) 
%s 님은 접속되 있지 않습니다.	%s is not online. 
%s 님은 정상적으로 출마를 하였습니다.	%s player already in the vote. 
%s 님을 소환하였습니다.	You have recruited %s players. 
%s 님이 대련에서 승리하였습니다.	%s has won the duel. 
%s 님이 승리하였습니다.	%s has won. 
%s 블럭! (%d%%)	%s block! (%d%%) 
%s 아이템 을 획득하셨습니다	You have won %s items. 
%s 아이템이 필요합니다	You need %s. 
%s 에게로 이동합니다	Warp to player %s. 
%s 회피! (%d%%)	%s avoid! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: This guild does not exist. 
%s[%d]가 공격 위치: %d %d	%s[%d]'s Attack Position: %d %d 
%s님과의 대결 시작!	The battle with %s has begun! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s challenged you to a battle! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s rolled dice. He/she got %d (%d-%d). 
%s를 구웠습니다.	You are roasting %s over the fire. 
%s에 박혀있던 보석이 사라집니다.	A gem made of %s has vanished. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	A bonfire was inflamed at %s to warn because of a battle. 
%s에게 대결신청을 했습니다.	You have challenged %s to a battle. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	There are %s wars to inflame the bonfires. 
%s에서 소켓 빠질때까지 남은 시간 %d	Time left until the removal of the socket of %s: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s has increased by %d%%! 
%s의 %s이 정상으로 돌아왔습니다.	%s 's %s normal again. 
%s의 군주가 %s 님으로 교체되었습니다.	The emperor of %s has changed to %s. 
%s이 모든 봉화를 파괴하였습니다.	%s has destroyed all the bonfires. 
%s이 봉화를 파괴했습니다.	%s has destroyed the bonfire. 
%s이 수성에 성공했습니다.	%s has successfully defended. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s lost the war as they have not been able to defend the castle. 
%s이 필요합니다.	For this action you need: %s 
(%s) 길드가 생성되었습니다. [임시]	(%s) guild has been created. [Temporary] 
(만료일 : %d년 %d월 %d일)	(Procedure: %d y- %d m - %d d) 
. 너희가 성지의 수호자를 잡게 된다면 너희는 성지의 주인이 된다.[ENTER][ENTER] 	If you defeat the Guard of the Holy Place, you will become the owner of it. 
1-50 사이의 수치를 선택해주세요	Choose a number between 1 and 50. 
10초뒤 다음 판을 시작합니다.	The next round will begin in 10 seconds. 
10초뒤 대련이 시작됩니다.	The fight will start in 10 seconds. 
10초뒤 마을로 되돌아갑니다.	You will be teleported into the city in 10 seconds. 
10초뒤 마을로 이동합니다.	In 10 seconds you will be teleported into the city. 
10초뒤 판정하겠습니다.	The result will follow in 10 seconds. 
10초후 자동으로 접속이 종료되며,	You will be disconnected automatically in 10 seconds. 
1분 이내에 아무도 접속하지 않으면 길드전이 자동 종료됩니다.	If no enemy can be found, the guild war will be ended automatically. 
20억 냥을 초과하여 상점을 열수가 없습니다	You can't trade because you are carrying more than 2 million Yang. 
20억냥이 초과하여 물품을 팔수 없습니다.	You are carrying more than 2 Billion Yang, so you cannot trade. 
30분이 경과했습니다.. 봉화가 사라집니다.	30 minutes are over. The bonfires have disappeared. 
5분 후에 정상적으로 접속하실수 있습니다.	You can connect again after 5 minutes. 
5초 뒤 틀리신 분들을 바깥으로 이동 시키겠습니다.	After 5 sec. all who gave a wrong answer are going to be removed. 
<길드> %d 스킬을 사용함 (%d, %d) to %u	<Guild> %d skill has been applied (%d, %d) to %u. 
<길드> %s 길드가 길드전을 거부하였습니다.	<Guild> %s has refused the Guild war. 
<길드> %u의 경험치를 투자하였습니다.	<Guild> %u experience points used. 
<길드> %u의 용신력을 회복하였습니다.	<Guild> %u Dragon ghost points have been restored. 
<길드> [%s] 길드가 생성되었습니다.	<Guild> [%s] guild has been created. 
<길드> 가지고 있는 돈이 부족합니다.	<Guild> You do not have enough Yang. 
<길드> 경험치 투자에 실패하였습니다.	<Guild> Experience usage has failed. 
<길드> 공지글을 작성할 권한이 없습니다.	<Guild> You do not have the authority to make an announcement. 
<길드> 그러한 사람을 찾을 수 없습니다.	<Guild> The person you were searching for cannot be found. 
<길드> 그런 길드가 없습니다.	<Guild> No guild with this name exists. 
<길드> 길드 금고에선 길드장만 출금할 수 있습니다.	<Guild> Only the guild leader can withdraw Yang. 
<길드> 길드 생성에 실패하였습니다.	<Guild> Creation of the guild has failed. 
<길드> 길드 스킬 레벨을 변경할 권한이 없습니다.	<Guild> You do not have the authority to change the level of the guild skills. 
<길드> 길드 스킬은 길드전 중에만 사용할 수 있습니다.	<Guild> This guild skill can only be used during war. 
<길드> 길드 이름이 적합하지 않습니다.	<Guild> This guild name is invalid. 
<길드> 길드가 이미 최고 레벨입니다.	<Guild> Your guild has already reached the maximum level. 
<길드> 길드를 생성할 수 없습니다.	<Guild> You cannot found a guild. 
<길드> 길드를 해산한 지 %d일이 지나지 않은 사람은 길드에 초대할 수 없습니다.	<Guild> After the rearrangement you can invite members again after %d days. 
<길드> 길드에 속해있지 않습니다.	<Guild> It does not belong to the guild. 
<길드> 길드원 %s 님을 강제 탈퇴 시켰습니다.	<Guild> The guild member %s has been kicked out of the Guild. 
<길드> 길드원을 강제 탈퇴 시켰습니다.	<Guild> You have kicked a guild member out. 
<길드> 길드원을 강제 탈퇴 시킬 권한이 없습니다.	<Guild> You do not have the authority to kick out guild members. 
<길드> 길드원을 초대할 권한이 없습니다.	<Guild> You do not have the authority to invite someone to join the guild. 
<길드> 길드장으로 직위를 변경할 수 없습니다.	<Guild> You cannot make yourself guild leader. 
<길드> 길드장의 권한은 변경할 수 없습니다.	<Guild> The rights of the guild leader cannot be changed. 
<길드> 길드장의 직위 이름은 변경할 수 없습니다.	<Guild> The guild leader's rights cannot be changed. 
<길드> 길드장의 직위는 변경할 수 없습니다.	<Guild> The guild leader's position cannot be changed. 
<길드> 길드전에 대한 권한이 없습니다.	<Guild> No one is entitled to a guild war. 
<길드> 길드전을 하기 위해선 최소한 %d명이 있어야 합니다.	<Guild> A minimum of %d players are needed to participate in a guild war. 
<길드> 길드전이 취소 되었습니다.	<Guild> The guild war has been cancelled. 
<길드> 길드전중에는 사냥에 따른 이익이 없습니다.	<Guild> There are no experience points for hunting during a guild war. 
<길드> 다른 제국 사람을 길드에 초대할 수 없습니다.	<Guild> You cannot invite players from another kingdom into the guild. 
<길드> 더이상 장수를 지정할 수 없습니다.	<Guild> You cannot choose any more guild leaders. 
<길드> 돈이 부족합니다.	<Guild> Not enough Yang. 
<길드> 래더 점수가 %d 점이 되었습니다	<Guild> The guild has reached %d points. 
<길드> 레더 점수가 모자라서 길드전을 할 수 없습니다.	<Guild> Guild level is too low to participate in a guild war. 
<길드> 삭제할 수 없는 글입니다.	<Guild> This message cannot be deleted. 
<길드> 상대가 %d 채널에 있습니다. (현재 채널 %d)	<Guild> This player is on channel %d. (Current channel: %d) 
<길드> 상대가 온라인 상태가 아닙니다.	<Guild> This player is not online. 
<길드> 상대방 길드가 이미 전쟁 중 입니다.	<Guild> This guild is already participating in a war. 
<길드> 상대방 길드의 길드원 수가 부족하여 길드전을 할 수 없습니다.	<Guild> The guild does not have enough members to participate in a guild war. 
<길드> 상대방 길드의 길드장이 접속중이 아닙니다.	<Guild> The enemy's guild leader is offline. 
<길드> 상대방 길드의 레더 점수가 모자라서 길드전을 할 수 없습니다.	<Guild> The guild does not have enough points to participate in a guild war. 
<길드> 상대방 길드의 전비가 부족하여 길드전을 할 수 없습니다.	<Guild> The guild does not have enough Yang to participate in a guild war. 
<길드> 상대방이 같은 길드가 아닙니다.	<Guild> This person is not in the same guild. 
<길드> 상대방이 길드 초대 거부 상태입니다.	<Guild> The player has declined the guild invitation. 
<길드> 상대방이 이미 다른 길드에 속해있습니다.	<Guild> This person is already a member of another Guild. 
<길드> 상대방이 초대 신청을 받을 수 없는 상태입니다.	<Guild> The person standing opposite you cannot receive the invitation. 
