%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Ennyivel: %d több Készségkönyvet kell elolvasnod, hogy fejleszthesd ezt a képzettséget. 
%d 냥을 투자하셨습니다.	%d Yangot fektettél be. 
%d 냥을 획득하셨습니다.	%d Yangot nyertél. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	El kell érned a %d szintet, hogy ismét befesthesd a hajad. 
%d 분 %d 초 동안 채팅금지 상태입니다	%d perc %d másodperc van még hátra a chat tiltásodból 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	%d óra %d perc %d másodperc van még hátra a chat tiltásodból 
%d 시간 %d 초 동안 채팅금지 상태입니다	%d óra %d másodperc van még hátra a chat tiltásodból 
%d 종류 %d 마리 낚음	%d-ból %d-t fogtál. 
%d 초 동안 채팅금지 상태입니다	%d másodperc van hátra a chat tiltásodból 
%d 초 후에 군주의 축복을 사용할 수 있습니다	%d másodperc után lehet a császár áldását felhasználni. 
%d 초간 쿨타임이 적용중입니다.	Újrafelhasználási idõ kb. %d másodperc 
%d 초후 목적지로 이동됩니다.	%d másodperccel az indítás után eléred a célhelyet. 
%d%% 확률로 관통 공격	Átható támadás %d%% eséllyel. 
%d%% 확률로 적퇴치시 경험치 추가 상승	Tapasztalat növekedés %d%%-kal az ellenség feletti gyõzelemnél. 
%d%% 확률로 적퇴치시 돈 2배 드롭	A zsákmányolt Yang növekedése %d%%-kal az ellenség feletti gyõzelemnél. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% esély az életerõ feltöltésére egy gyõzelem után. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	A zsákmányolt tárgyak növekedése %d%%-kal az ellenség feletti gyõzelemnél. 
%d%% 확률로 적퇴치시 정신력 회복	Mana emelkedés %d%%-kal az ellenség feletti gyõzelemnél. 
%d%% 확률로 치명타 공격	Kritikus támadás %d%% eséllyel. 
%d%% 확률로 타격시 상대 전신력 소모	%d%% valószínûséggel lesz Mana elvéve az ellenségtõl. 
%d%% 확률로 피해시 정신력 회복	Mana elnyelõdés %d%% eséllyel. 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d játékidõ lett hozzáadva az eddigiekhez.. (Fizetési szám %d) 
%d의 경험치를 획득했습니다.	%d tapasztalatot szereztél. 
%d초 남았습니다.	%d másodperc a végéig. 
%d초 만큼 충전되었습니다.	%d másodperc hozzáadva. 
%d초 후 게임이 셧다운 됩니다.	%d másodperc múlva vége a játéknak. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s FP felhasználás: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s killcount %d mobkillcount %d bosskillcount %d szent föld száma %d 
%s 군주 후보에서 삭제하였습니다	%s-t törölve lett a császár jelöltek közül. 
%s 군주로 입명 했습니다.	%s császárnak van jelölve. 
%s 군주르 제거 하였습니다..	A %s császárt eltávolítják. 
%s 군주를 제거 할수 없습니다.	%s császár nem eltávolítható. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	A(z) %s céh háborút hirdetett %s ellen. 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	%s megnyerte a céhháborút %s ellen. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s megszerezte %s zászlóját. 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	A céhháború döntetlennel végzõdött %s és %s között. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	A céhháború %s és %s között törölve lett. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	A céhháború perceken belül elkezdõdik %s és %s között. 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	A céhháború elkezdõdött %s és %s között. 
%s 길드의 %s이 %d%% 증가했습니다!	%s a %s céhnek felment %d%%-ra. 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s a %s céhnek normalizálódott. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	A %s céh zászlaját ellopta %s játékos. 
%s 는 군주 후보가 아닙니다.	%s nem császár jelölt. 
%s 는 군주로 입명할수 없습니다 .	%s-t nem lehet császárnak jelölni. 
%s 님과의 교환이 성사 되었습니다.	Az üzlet %s személlyel sikerült. 
%s 님에게 파티가입 신청을 했습니다.	Szeretnél %s csoportjába lépni. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s elutasította a meghívást. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	%s játékos a %d csatornán található. (Te a %d csatornán vagy) 
%s 님은 접속되 있지 않습니다.	%s nem online. 
%s 님은 정상적으로 출마를 하였습니다.	%s játékos már a választásban van. 
%s 님을 소환하였습니다.	%s játékost választottad ki. 
%s 님이 대련에서 승리하였습니다.	%s megnyerte a párbajt. 
%s 님이 승리하였습니다.	%s nyert. 
%s 블럭! (%d%%)	%s blokk! (%d%%) 
%s 아이템 을 획득하셨습니다	%s tárgyat nyertél. 
%s 아이템이 필요합니다	Szükséged van %s-re. 
%s 에게로 이동합니다	Transzport a %s játékoshoz. 
%s 회피! (%d%%)	%s kitérés! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Ez a céh nem létezik. 
%s[%d]가 공격 위치: %d %d	%s[%d] Támadó Pozíciója: %d %d 
%s님과의 대결 시작!	A harc %s ellen megkezdõdött. 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s harcra hívott téged. 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s dobott kockával. Dobásának értéke %d (%d-%d). 
%s를 구웠습니다.	%s-t sütsz a tûz fölött. 
%s에 박혀있던 보석이 사라집니다.	A %s-ból készült drágakõ eltûnt. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	Máglyát gyújtottak %s-nél, hogy csatára figyelmeztessenek. 
%s에게 대결신청을 했습니다.	%s harcra hívott. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Háború van %s-ben a máglya meggyújtásáért. 
%s에서 소켓 빠질때까지 남은 시간 %d	A %s idõbõl a foglalat eltávolításáig fennmaradó: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s megnövekedett %d%%-kal! 
%s의 %s이 정상으로 돌아왔습니다.	%s %s-a normalizálódott. 
%s의 군주가 %s 님으로 교체되었습니다.	%s császárát lecserálták. Az új császár: %s. 
%s이 모든 봉화를 파괴하였습니다.	%s minden máglyát szétrombolt. 
%s이 봉화를 파괴했습니다.	%s szétrombolta a máglyát. 
%s이 수성에 성공했습니다.	%s sikeresen védekezett. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s elvesztette a háborút, mert nem tudta megvédeni a kastélyt. 
%s이 필요합니다.	Ehhez szükséges : %s 
(%s) 길드가 생성되었습니다. [임시]	(%s) létre kett hozva. [Átmenetileg] 
(만료일 : %d년 %d월 %d일)	(Folyamat: %d j- %d m - %d t) 
. 너희가 성지의 수호자를 잡게 된다면 너희는 성지의 주인이 된다.[ENTER][ENTER] 	Ha legyõzöd a szent hely õrét, te leszel a tulajdonosa. 
1-50 사이의 수치를 선택해주세요	Válassz egy számot 1 és 50 között. 
10초뒤 다음 판을 시작합니다.	10 másodperc múlva kezdõdik a következõ menet. 
10초뒤 대련이 시작됩니다.	A harc 10 másodperc múlva kezdõdik. 
10초뒤 마을로 되돌아갑니다.	10 másodperc múlva a városba teleportálódsz. 
10초뒤 마을로 이동합니다.	10 másodperc múlva a városba teleportálódsz. 
10초뒤 판정하겠습니다.	Az eredmény 10 másodperc múlva következik. 
10초후 자동으로 접속이 종료되며,	10 másodperc múlva automatikusan le leszel kapcsolva. 
1분 이내에 아무도 접속하지 않으면 길드전이 자동 종료됩니다.	Ha nincs ellenség, automatikusan véget fog érni a céhharc. 
20억 냥을 초과하여 상점을 열수가 없습니다	Több mint 2 milliárd Yang van nálad, ezért nem tudsz kereskedni. 
20억냥이 초과하여 물품을 팔수 없습니다.	Több mint 2 milliárd Yang van nálad, ezért nem tudsz kereskedni. 
30분이 경과했습니다.. 봉화가 사라집니다.	A 30 perc letelt. A máglya eltûnt. 
5분 후에 정상적으로 접속하실수 있습니다.	5 perc múlva tudsz csatlakozni. 
5초 뒤 틀리신 분들을 바깥으로 이동 시키겠습니다.	5 másodperc múlva minden résztvevõ el lesz távolítva, aki rossz választ adott. 
<길드> %d 스킬을 사용함 (%d, %d) to %u	<Céh> %d képesség felhasználódott (%d, %d) %u-ra 
<길드> %s 길드가 길드전을 거부하였습니다.	<Céh> %s lemondta a céhháborút. 
<길드> %u의 경험치를 투자하였습니다.	<Céh> %u tapasztalati pont megadva. 
<길드> %u의 용신력을 회복하였습니다.	<Céh> %u Sárkány szellem pontjai vissza lettek állítva. 
<길드> [%s] 길드가 생성되었습니다.	<Céh> [%s] létre lett hozva. 
<길드> 가지고 있는 돈이 부족합니다.	<Céh> Nincs nálad elég Yang. 
<길드> 경험치 투자에 실패하였습니다.	<Céh> Nem sikerült a tapasztalat bevetése. 
<길드> 공지글을 작성할 권한이 없습니다.	<Céh> Nincs jogod bejelentést tenni. 
<길드> 그러한 사람을 찾을 수 없습니다.	<Céh> A keresett ember nem található. 
<길드> 그런 길드가 없습니다.	<Céh> Nincs ilyen nevû céh. 
<길드> 길드 금고에선 길드장만 출금할 수 있습니다.	<Céh> Csak a céhvezetõ tud Yang-et kivenni. 
<길드> 길드 생성에 실패하였습니다.	<Céh> Céh létrehozása nem sikerült. 
<길드> 길드 스킬 레벨을 변경할 권한이 없습니다.	<Céh> Nincs jogosultságod a céhképességek megváltoztatására. 
<길드> 길드 스킬은 길드전 중에만 사용할 수 있습니다.	<Céh> A céh képesség csak a háborúban használható. 
<길드> 길드 이름이 적합하지 않습니다.	<Céh> A céhnév érvénytelen. 
<길드> 길드가 이미 최고 레벨입니다.	<Céh> A céhed már elérte a maximum szintet. 
<길드> 길드를 생성할 수 없습니다.	<Céh> Nem hozhatsz létre céhet. 
<길드> 길드를 해산한 지 %d일이 지나지 않은 사람은 길드에 초대할 수 없습니다.	<Céh> Az átszervezés után csak %d nappal hívhatsz meg új tagokat. 
<길드> 길드에 속해있지 않습니다.	<Céh> Nem tartozik a céhhez. 
<길드> 길드원 %s 님을 강제 탈퇴 시켰습니다.	<Céh> %s céhtagot kizárták a céhbõl. 
<길드> 길드원을 강제 탈퇴 시켰습니다.	<Céh> Elküldtél egy céhtagot. 
<길드> 길드원을 강제 탈퇴 시킬 권한이 없습니다.	<Céh> Nincs felhatalmazásod céhtagok elküldésére. 
<길드> 길드원을 초대할 권한이 없습니다.	<Céh> Nem vagy jogosult, meghívni valakit a céhbe. 
<길드> 길드장으로 직위를 변경할 수 없습니다.	<Céh> Nem változtathatod rangod céhmesterre. 
<길드> 길드장의 권한은 변경할 수 없습니다.	<Céh> A céh vezetõjének a jogai nem változtathatók meg. 
<길드> 길드장의 직위 이름은 변경할 수 없습니다.	<Céh> A céh vezetõ jogai nem változtathatók meg 
<길드> 길드장의 직위는 변경할 수 없습니다.	<Céh> A céhmester pozíciója nem változtatható meg. 
<길드> 길드전에 대한 권한이 없습니다.	<Céh> Nincs joga senkinek a céhharchoz. 
<길드> 길드전을 하기 위해선 최소한 %d명이 있어야 합니다.	<Céh> Legalább %d játékosnak kell részt vennie a céhháborúban. 
<길드> 길드전이 취소 되었습니다.	<Céh> A céhháború félbeszakadt. 
<길드> 길드전중에는 사냥에 따른 이익이 없습니다.	<Céh> A céhháború ideje alatt nincs tapasztalati pont vadászatkor. 
<길드> 다른 제국 사람을 길드에 초대할 수 없습니다.	<Céh> Más birodalom játékosa nem hívható meg a céhbe. 
<길드> 더이상 장수를 지정할 수 없습니다.	<Céh> Nem választhatsz több céhvezetõt. 
<길드> 돈이 부족합니다.	<Céh> Nincs elég Yang. 
<길드> 래더 점수가 %d 점이 되었습니다	<Céh> A Céh %d pontot ért el. 
<길드> 레더 점수가 모자라서 길드전을 할 수 없습니다.	<Céh> A céh szint túl alacsony egy céhháborúban való részvételhez. 
<길드> 삭제할 수 없는 글입니다.	<Céh> Az üzenet nem törölhetõ. 
<길드> 상대가 %d 채널에 있습니다. (현재 채널 %d)	<Céh> A játékos %d csatornán van. (Jelenleg a %d csatornán vagy). 
<길드> 상대가 온라인 상태가 아닙니다.	<Céh> A játékos nem online. 
<길드> 상대방 길드가 이미 전쟁 중 입니다.	<Céh> A céh már harcban áll. 
<길드> 상대방 길드의 길드원 수가 부족하여 길드전을 할 수 없습니다.	<Céh> A céhnek nincs elég tagja, hogy részt tudjon venni egy céhháborúban. 
<길드> 상대방 길드의 길드장이 접속중이 아닙니다.	<Klán> Az ellenséges klán vezetõje offline van. 
<길드> 상대방 길드의 레더 점수가 모자라서 길드전을 할 수 없습니다.	<Céh> A céhnek nincs elég pontja ahhoz, hogy részt tudjon venni egy céhháborúban. 
<길드> 상대방 길드의 전비가 부족하여 길드전을 할 수 없습니다.	<Céh> A céhnek nincs elég Yang-ja, hogy részt vegyen a céhharcban. 
<길드> 상대방이 같은 길드가 아닙니다.	<Céh> A személy nem uganahhoz a céhhez tartozik. 
<길드> 상대방이 길드 초대 거부 상태입니다.	<Céh> A játékos elutasította a céh meghívását. 
<길드> 상대방이 이미 다른 길드에 속해있습니다.	<Céh> A személy már egy másik céhhez tartozik. 
