%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Per migliorare questa abilità devi leggere ancora %d Libri dell'Abilità. 
%d 냥을 투자하셨습니다.	Hai investito %d Yang. 
%d 냥을 획득하셨습니다.	Hai vinto %d Yang. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Devi raggiungere il livello %d per poter ricolorare i tuoi capelli. 
%d 분 %d 초 동안 채팅금지 상태입니다	La tua chat resterà bloccata ancora per %d minuti %d secondi 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	La tua chat resterà bloccata ancora per %d ore %d minuti %d secondi 
%d 시간 %d 초 동안 채팅금지 상태입니다	La tua chat resterà bloccata ancora per %d ore %d secondi 
%d 종류 %d 마리 낚음	Ne hai catturati %d di %d. 
%d 초 동안 채팅금지 상태입니다	Il tuo blocco chat durerà ancora %d secondi 
%d 초 후에 군주의 축복을 사용할 수 있습니다	La Benedizione dell'Imperatore può essere utilizzata dopo %d sec. 
%d 초간 쿨타임이 적용중입니다.	Tempo d'attesa circa %d sec. 
%d 초후 목적지로 이동됩니다.	%d secondi dopo averlo usato arrivi nel luogo desiderato. 
%d%% 확률로 관통 공격	Attacco perforante con una probabilità di %d%%. 
%d%% 확률로 적퇴치시 경험치 추가 상승	Aumento dell'esperienza %d%% in caso di vittoria sull'avversario. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Aumento degli Yang saccheggiati di %d%% in caso di vittoria sull'avversario. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% di possibilità di rigenerare i tuoi HP dopo un vittoria sull'avversario. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Aumento degli oggetti saccheggiati di %d%% in caso di vittoria sull'avversario. 
%d%% 확률로 적퇴치시 정신력 회복	Aumento della mana di %d%% in caso di vittoria sull'avversario. 
%d%% 확률로 치명타 공격	Attacco critico con una probabilità di %d%%. 
%d%% 확률로 타격시 상대 전신력 소모	Con una probabilità di %d%% la mana dell'avversario sarà presa. 
%d%% 확률로 피해시 정신력 회복	Probabilità di assorbimento di %d%% Mana. 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d Tempo di gioco viene aggiunto al tuo account. (Nr. di pagamento %d) 
%d의 경험치를 획득했습니다.	Hai ricevuto %d esperienza. 
%d초 남았습니다.	%d secondi al logout. 
%d초 만큼 충전되었습니다.	%d secondi sono stati caricati. 
%d초 후 게임이 셧다운 됩니다.	Tra %d secondi il gioco sarà concluso. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s Consumo SP: %d. 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s killcount %d mobkillcount %d bosskillcount %d Numero della Terra Santa %d. 
%s 군주 후보에서 삭제하였습니다	%s è cancellato come candidato alla carica di imperatore. 
%s 군주로 입명 했습니다.	%s è nominato Imperatore. 
%s 군주르 제거 하였습니다..	L'Imperatore %s è stato destituito. 
%s 군주를 제거 할수 없습니다.	L'Imperatore %s non può essere destituito. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	La Gilda %s ha dichiarato guerra alla Gilda %s! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	%s ha vinto la guerra tra Gilde contro %s. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s ha conquistato la bandiera della %s! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	La guerra tra Gilde di %s e %s è finita in parità. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	La guerra tra Gilde di %s e %s è stata interrotta. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	La guerra tra Gilde di %s e %s comincerà tra pochi minuti! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	La guerra tra Gilde di %s e %s è cominciata! 
%s 길드의 %s이 %d%% 증가했습니다!	%s della Gilda %s è salito di %d%%! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s della Gilda %s si è normalizzato. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	La bandiera della Gilda %s è stata rubata dal giocatore %s. 
%s 는 군주 후보가 아닙니다.	%s non è un candidato alla carica di Imperatore. 
%s 는 군주로 입명할수 없습니다 .	%s Non può essere nominato Imperatore. 
%s 님과의 교환이 성사 되었습니다.	Il commercio con %s è riuscito. 
%s 님에게 파티가입 신청을 했습니다.	Desideri entrare nel gruppo di %s. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s ha rifiutato l'invito. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	Il giocatore %s è nel canale %d. (Il tuo canale è %d) 
%s 님은 접속되 있지 않습니다.	%s non è online. 
%s 님은 정상적으로 출마를 하였습니다.	%s Il giocatore è già nella votazione. 
%s 님을 소환하였습니다.	Hai reclutato il giocatore %s. 
%s 님이 대련에서 승리하였습니다.	%s ha vinto il duello. 
%s 님이 승리하였습니다.	%s ha vinto. 
%s 블럭! (%d%%)	%s blocca! (%d%%). 
%s 아이템 을 획득하셨습니다	Hai vinto %s oggetto. 
%s 아이템이 필요합니다	Ti serve %s. 
%s 에게로 이동합니다	Teleportare dal giocatore %s. 
%s 회피! (%d%%)	%s eludi! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: questa Gilda non esiste. 
%s[%d]가 공격 위치: %d %d	Posizione d'attacco di %s[%d]: %d %d 
%s님과의 대결 시작!	La lotta con %s è iniziata! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s ti ha sfidato alla lotta! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s ha lanciato i dadi. Lui/lei ha ottenuto %d (%d-%d). 
%s를 구웠습니다.	Arrostisci %s sul fuoco. 
%s에 박혀있던 보석이 사라집니다.	Una pietra preziosa di %s è sparita. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	Un fuoco di vedetta è stato acceso a %s per avvertire di una battaglia. 
%s에게 대결신청을 했습니다.	Hai sfidato alla lotta %s. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	A %s c'è una guerra per accendere i fuochi di vedetta. 
%s에서 소켓 빠질때까지 남은 시간 %d	Alla rimozione della montatura di %s rimangono: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s è salito di %d%%! 
%s의 %s이 정상으로 돌아왔습니다.	%s di %s si è normalizzato. 
%s의 군주가 %s 님으로 교체되었습니다.	L'imperatore di %s è stato modificato in %s. 
%s이 모든 봉화를 파괴하였습니다.	%s ha distrutto tutti i fuochi di vedetta. 
%s이 봉화를 파괴했습니다.	%s ha distrutto il fuoco di vedetta. 
%s이 수성에 성공했습니다.	A %s è riuscita la difesa. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s ha perso la guerra perchè non sono riusciti a difendere il castello. 
%s이 필요합니다.	Per fare questo ti serve: %s 
(%s) 길드가 생성되었습니다. [임시]	(%s) è stata creata. [Temporaneo]. 
(만료일 : %d년 %d월 %d일)	(Scadenza: %d a- %d m - %d g). 
. 너희가 성지의 수호자를 잡게 된다면 너희는 성지의 주인이 된다.[ENTER][ENTER] 	Se sconfiggete il guardiano della piazza sacra sarete i proprietari della piazza sacra. 
1-50 사이의 수치를 선택해주세요	Scegli un valore numerico tra 1-50. 
10초뒤 다음 판을 시작합니다.	Tra 10 secondi inizierà il prossimo turno. 
10초뒤 대련이 시작됩니다.	La battaglia inizia tra 10 secondi. 
10초뒤 마을로 되돌아갑니다.	Tra 10 secondi sarai teletrasportato nella città. 
10초뒤 마을로 이동합니다.	Tra 10 secondi sarai trasportato nella città. 
10초뒤 판정하겠습니다.	Il risultato sarà dato tra 10 sec. 
10초후 자동으로 접속이 종료되며,	Tra 10 secondi sarai sconnesso automaticamente. 
1분 이내에 아무도 접속하지 않으면 길드전이 자동 종료됩니다.	Se non ci sono avversari la guerra delle Gilde viene automaticamente terminata. 
20억 냥을 초과하여 상점을 열수가 없습니다	Non puoi aprire nessun negozio perchè hai più di 2 miliardi di Yang con te. 
20억냥이 초과하여 물품을 팔수 없습니다.	Hai con te più 2 Milioni Yang con te per cui non puoi commerciare. 
30분이 경과했습니다.. 봉화가 사라집니다.	I 30 minuti sono scaduti. I fuochi di vedetta sono spariti. 
5분 후에 정상적으로 접속하실수 있습니다.	Tra 5 minuti potrai ricollegarti. 
5초 뒤 틀리신 분들을 바깥으로 이동 시키겠습니다.	Dopo 5 Sec. i patecipanti che avranno dato una risposta errata saranno tolti. 
<길드> %d 스킬을 사용함 (%d, %d) to %u	<Gilda> %d abilità è stata utilizzata (%d, %d) su %u. 
<길드> %s 길드가 길드전을 거부하였습니다.	<Gilda> %s ha rifiutato la guerra. 
<길드> %u의 경험치를 투자하였습니다.	<Gilda> Sono stati donati %u punti esperienza. 
<길드> %u의 용신력을 회복하였습니다.	<Gilda> %u punti di Spirito del Drago sono stati rigenerati. 
<길드> [%s] 길드가 생성되었습니다.	<Gilde> [%s] è stata creata. 
<길드> 가지고 있는 돈이 부족합니다.	<Gilda> Non hai abbastanza Yang con te. 
<길드> 경험치 투자에 실패하였습니다.	<Gilda> Utilizzo dell'esperienza fallito. 
<길드> 공지글을 작성할 권한이 없습니다.	<Gilda> Non sei autorizzato a fare un annuncio. 
<길드> 그러한 사람을 찾을 수 없습니다.	<Gilda> La persona che cerchi non è stata trovata. 
<길드> 그런 길드가 없습니다.	<Gilda> Questa Gilda non esiste. 
<길드> 길드 금고에선 길드장만 출금할 수 있습니다.	<Gilda> Solo il Capo Gilda può prelevare Yang. 
<길드> 길드 생성에 실패하였습니다.	<Gilda> La creazione di una Gilda è fallita. 
<길드> 길드 스킬 레벨을 변경할 권한이 없습니다.	<Gilda> Non hai il diritto di modificare il livello delle abilità della gilda. 
<길드> 길드 스킬은 길드전 중에만 사용할 수 있습니다.	<Gilda> Le abilità della Gilda possono essere usate solo in guerra. 
<길드> 길드 이름이 적합하지 않습니다.	<Gilda> Il nome della Gilda non è valido. 
<길드> 길드가 이미 최고 레벨입니다.	<Gilda> La tua gilda ha già raggiunto il livello massimo. 
<길드> 길드를 생성할 수 없습니다.	<Gilda> Non puoi creare un Gilda. 
<길드> 길드를 해산한 지 %d일이 지나지 않은 사람은 길드에 초대할 수 없습니다.	<Gilda> Dopo la modifica puoi reinvitare membri tra %d giorni. 
<길드> 길드에 속해있지 않습니다.	<Gilda> Non appartiene alla Gilda. 
<길드> 길드원 %s 님을 강제 탈퇴 시켰습니다.	<Gilda> Il membro %s è stato cacciato dalla Gilda. 
<길드> 길드원을 강제 탈퇴 시켰습니다.	<Gilda> Hai cacciato un membro della Gilda. 
<길드> 길드원을 강제 탈퇴 시킬 권한이 없습니다.	<Gilda> Non hai i permessi per cacciare i membri dalla gilda. 
<길드> 길드원을 초대할 권한이 없습니다.	<Gilda> Non sei autorizzato a fare inviti nella Gilda. 
<길드> 길드장으로 직위를 변경할 수 없습니다.	<Gilda> Non puoi nominare te stesso capo Gilda. 
<길드> 길드장의 권한은 변경할 수 없습니다.	<Gilda> I diritti del capo Gilda non possono essere modificati. 
<길드> 길드장의 직위 이름은 변경할 수 없습니다.	<Gilda> I poteri del capo Gilda non possono essere modificati. 
<길드> 길드장의 직위는 변경할 수 없습니다.	<Gilda> La posizione del capo Gilda non può essere modificata. 
<길드> 길드전에 대한 권한이 없습니다.	<Gilda> Non c'è una ragione per una guerra tra Gilde. 
<길드> 길드전을 하기 위해선 최소한 %d명이 있어야 합니다.	<Gilda> Devono partecipare minimo %d giocatori a una guerra tra Gilde. 
<길드> 길드전이 취소 되었습니다.	<Gilda> La guerra tra Gilde è stata interrotta. 
<길드> 길드전중에는 사냥에 따른 이익이 없습니다.	<Gilda> Durante la Guerra tra Gilde non si ottengono punti esperienza per la caccia. 
<길드> 다른 제국 사람을 길드에 초대할 수 없습니다.	<Gilda> I giocatori di altri Regni non possono essere invitati nella gilda. 
<길드> 더이상 장수를 지정할 수 없습니다.	<Gilda> Non puoi scegliere altri capi Gilda. 
<길드> 돈이 부족합니다.	<Gilda> Non hai abbastanza Yang. 
<길드> 래더 점수가 %d 점이 되었습니다	<Gilda> La gilda ha raggiunto %d punti. 
<길드> 레더 점수가 모자라서 길드전을 할 수 없습니다.	<Gilda> Il punteggio è troppo basso per partecipare ad una guerra tra Gilde. 
<길드> 삭제할 수 없는 글입니다.	<Gilda> Il messaggio non può essere cancellato. 
<길드> 상대가 %d 채널에 있습니다. (현재 채널 %d)	<Gilda> Il giocatore è nel canale %d. (Canale attuale: %d). 
<길드> 상대가 온라인 상태가 아닙니다.	<Gilda> Il giocatore non è online. 
<길드> 상대방 길드가 이미 전쟁 중 입니다.	<Gilda> La Gilda è già in guerra. 
<길드> 상대방 길드의 길드원 수가 부족하여 길드전을 할 수 없습니다.	<Gilda> La Gilda non ha abbastanza membri per partecipare alla guerra tra Gilde. 
<길드> 상대방 길드의 길드장이 접속중이 아닙니다.	<Gilda> Il Capo della Gilda avversaria è offline. 
<길드> 상대방 길드의 레더 점수가 모자라서 길드전을 할 수 없습니다.	<Gilda> La Gilda non ha abbastanza punti per partecipare alla guerra tra Gilde. 
<길드> 상대방 길드의 전비가 부족하여 길드전을 할 수 없습니다.	<Gilda> La Gilda non ha abbastanza Yang per partecipare alla guerra tra Gilde. 
<길드> 상대방이 같은 길드가 아닙니다.	<Gilda> La persona non appartiene alla stessa Gilda. 
<길드> 상대방이 길드 초대 거부 상태입니다.	<Gilda> Il giocatore rifiuta l'invito di entrare nella Gilda. 
<길드> 상대방이 이미 다른 길드에 속해있습니다.	<Gilda> La persona appartiene già ad una Gilda. 
