%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Musisz przeczytać jeszcze %d Ksiąg Umiejętności aby ulepszyć tę Umiejętność. 
%d 냥을 투자하셨습니다.	Zainwestowałeś %d Yang. 
%d 냥을 획득하셨습니다.	Wygrałeś %d Yang. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Musisz osiągnąć poziom %d, aby móc ponownie zmienić kolor fryzury. 
%d 분 %d 초 동안 채팅금지 상태입니다	Twoja blokada czatu trwa jeszcze %d minut %d sekund 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	Twoja blokada czatu trwa jeszcze %d godzin %d minut %d sekund 
%d 시간 %d 초 동안 채팅금지 상태입니다	Twoja blokada czatu trwa jeszcze %d godzin %d sekund 
%d 종류 %d 마리 낚음	Złapałeś %d z %d . 
%d 초 동안 채팅금지 상태입니다	Pozostało %d sekund do końca twojej blokady pisania 
%d 초 후에 군주의 축복을 사용할 수 있습니다	Po %d sekundach możesz użyć Błogosławieństwa Imperatora. 
%d 초간 쿨타임이 적용중입니다.	Regeneracja około %d sekund. 
%d 초후 목적지로 이동됩니다.	Osiągniesz miejsce docelowe w %d sekund po wykonaniu. 
%d%% 확률로 관통 공격	Szansa na Przeszywający Atak od %d%% 
%d%% 확률로 적퇴치시 경험치 추가 상승	Jeśli wygrasz, Doświadczenie wzrośnie do %d%%. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Jeśli wygrasz, Yang wzrosną do %d%%. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% szansa na uzupełnienie Punktów Energii po zwycięstwie. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Jeśli wygrasz, Ilość przejętych przedmiotów wzrośnie do %d%%. 
%d%% 확률로 적퇴치시 정신력 회복	Jeśli wygrasz, Mana zostanie podniesiona do %d%% 
%d%% 확률로 치명타 공격	Szansa na Krytyczny Atak %d%% 
%d%% 확률로 타격시 상대 전신력 소모	Z szansą %d%% Many zostanie zabranej od wroga. 
%d%% 확률로 피해시 정신력 회복	Absorbowanie Many z szansą %d%% . 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	Czas gry ( %d ) dodany do Twojego konta. (Numer płatności %d) 
%d의 경험치를 획득했습니다.	Otrzymałeś %d Punktów Doświadczenia. 
%d초 남았습니다.	%d sekund do wyłączenia. 
%d초 만큼 충전되었습니다.	Naładowano %d sek. 
%d초 후 게임이 셧다운 됩니다.	Gra zostanie zamknięta po %d sekundach. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s Użycie FP: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s licznik zabójstw %d zabitych potworów %d zabitych bossów %d liczba świętej ziemi %d 
%s 군주 후보에서 삭제하였습니다	Kandydatura %s na Imperatora została skasowana. 
%s 군주로 입명 했습니다.	%s został nominowany na Imperatora. 
%s 군주르 제거 하였습니다..	Imperator %s został odwołany. 
%s 군주를 제거 할수 없습니다.	Imperator %s nie może zostać odwołany. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	Gildia %s wypowiedziała wojnę Gildii %s! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	Gildia %s wygrała wojnę przeciwko Gildii %s. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	Gildia %s przejęła flagę Gildii %s! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	Wojna pomiędzy Gildiami %s oraz %s zakończona remisem. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	Wojna pomiędzy Gildiami %s oraz %s została anulowana. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	Wojna pomiędzy Gildiami %s oraz %s rozpocznie się za kilka minut! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	Wojna pomiędzy Gildiami %s oraz %s rozpoczęta! 
%s 길드의 %s이 %d%% 증가했습니다!	%s Gildii %s wzrósł do %d%%! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s Gildii %s jest ponownie normalny. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	Flaga Gildii %s została ukradziona przez gracza %s. 
%s 는 군주 후보가 아닙니다.	%s nie jest kandydatem na Imperatora. 
%s 는 군주로 입명할수 없습니다 .	%s nie może być nominowany na Imperatora. 
%s 님과의 교환이 성사 되었습니다.	Handel z %s zakończony pomyślnie. 
%s 님에게 파티가입 신청을 했습니다.	Chcesz dołączyć się do Grupy %s. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s odrzucił zaproszenie. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	Gracz %s obecnie przebywa na kanale %d. (Twój Kanał: %d) 
%s 님은 접속되 있지 않습니다.	%s nie jest online. 
%s 님은 정상적으로 출마를 하였습니다.	%s graczy oddało już swój głos. 
%s 님을 소환하였습니다.	Zrekrutowałeś %s graczy. 
%s 님이 대련에서 승리하였습니다.	%s wygrał pojedynek. 
%s 님이 승리하였습니다.	%s wygrał. 
%s 블럭! (%d%%)	%s blokuje! (%d%%) 
%s 아이템 을 획득하셨습니다	Wygrałeś %s przedmiotów. 
%s 아이템이 필요합니다	Potrzebujesz %s. 
%s 에게로 이동합니다	Teleport do %s. 
%s 회피! (%d%%)	%s robi unik! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Ta Gildia nie istnieje. 
%s[%d]가 공격 위치: %d %d	%s[%d]s Pozycja ataku: %d %d 
%s님과의 대결 시작!	Pojedynek z %s rozpoczęty! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s wyzwał Cię na pojedynek! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s rzuca kostką. Wyrzucona liczba to %d (%d-%d). 
%s를 구웠습니다.	Pieczesz %s nad ogniem. 
%s에 박혀있던 보석이 사라집니다.	Zniknął klejnot z %s. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	Ognisko zostało zapalone w %s by ostrzec o bitwie. 
%s에게 대결신청을 했습니다.	Wyzwałeś %s na pojedynek. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Są %s wojny, by zapalić ogniska. 
%s에서 소켓 빠질때까지 남은 시간 %d	Pozostały czas do usunięcia Kieszeni %s: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s wzrósł o %d%%! 
%s의 %s이 정상으로 돌아왔습니다.	%s %s jest ponownie normalny. 
%s의 군주가 %s 님으로 교체되었습니다.	Imperator z %s został zmieniony na %s. 
%s이 모든 봉화를 파괴하였습니다.	%s zniszczył ognisko. 
%s이 봉화를 파괴했습니다.	%s zniszczył ognisko. 
%s이 수성에 성공했습니다.	%s był w stanie obronić pomyślnie. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s przegrali wojnę, ponieważ nie byli w stanie obronić zamku. 
%s이 필요합니다.	Aby to zrobić potrzebujesz: %s 
(%s) 길드가 생성되었습니다. [임시]	(%s) Gildia utworzona. [Tymczasowo] 
(만료일 : %d년 %d월 %d일)	(Procedura: %d y- %d m - %d d) 
. 너희가 성지의 수호자를 잡게 된다면 너희는 성지의 주인이 된다.[ENTER][ENTER] 	Jeśli pokonasz Strażnika Świętej Ziemi, staniesz się jego właścicielem. 
1-50 사이의 수치를 선택해주세요	Wybierz liczbę pomiędzy 1 a 50. 
10초뒤 다음 판을 시작합니다.	Następna runda rozpoczyna się za 10 sekund. 
10초뒤 대련이 시작됩니다.	Walka rozpoczyna się za 10 sekund. 
10초뒤 마을로 되돌아갑니다.	Zostaniesz przeniesiony do Miasta za 10 sekund. 
10초뒤 마을로 이동합니다.	Za 10 sekund zostaniesz przeniesiony do miasta. 
10초뒤 판정하겠습니다.	Wyniki zostaną ukazane za 10 sekund. 
10초후 자동으로 접속이 종료되며,	Zostaniesz rozłączony za 10 sekund. 
1분 이내에 아무도 접속하지 않으면 길드전이 자동 종료됩니다.	Jeśli nie ma przeciwników, wojna Gildii zakończy się automatycznie. 
20억 냥을 초과하여 상점을 열수가 없습니다	Nie możesz otworzyć Magazynu, ponieważ masz przy sobie więcej niż 2 miliardy Yang. 
20억냥이 초과하여 물품을 팔수 없습니다.	Masz przy sobie więcej niż 2 miliardy Yang, nie możesz handlować. 
30분이 경과했습니다.. 봉화가 사라집니다.	30 minut minęło. Ogniska zgasły. 
5분 후에 정상적으로 접속하실수 있습니다.	Możesz połączyć się ponownie za 5 minut. 
5초 뒤 틀리신 분들을 바깥으로 이동 시키겠습니다.	Po 5 sekundach, uczestnicy, którzy udzielili złej odpowiedzi zostaną wykluczeni. 
<길드> %d 스킬을 사용함 (%d, %d) to %u	<Gildia> %d umiejętność użyta (%d, %d) na %u. 
<길드> %s 길드가 길드전을 거부하였습니다.	<Gildia> %s odrzuciła wojnę gildii. 
<길드> %u의 경험치를 투자하였습니다.	<Gildia> Wykorzystane Punkty Doświadczenia: %u. 
<길드> %u의 용신력을 회복하였습니다.	<Gildia> Zregenerowano %u Ducha Smoka. 
<길드> [%s] 길드가 생성되었습니다.	<Gildia> [%s] Gildia została stworzona. 
<길드> 가지고 있는 돈이 부족합니다.	<Gildia> Nie masz wystarczającej liczby Yang. 
<길드> 경험치 투자에 실패하였습니다.	<Gildia> Przekazanie Punktów Doświadczenia nieudane. 
<길드> 공지글을 작성할 권한이 없습니다.	<Gildia> Nie możesz umieszczać ogłoszeń. 
<길드> 그러한 사람을 찾을 수 없습니다.	<Gildia> Poszukiwana osoba nie została odnaleziona. 
<길드> 그런 길드가 없습니다.	<Gildia> Gildia o tej nazwie nie istnieje. 
<길드> 길드 금고에선 길드장만 출금할 수 있습니다.	<Gildia> Tylko Lider Gildii może pobrać Yang. 
<길드> 길드 생성에 실패하였습니다.	<Gildia> Zakładanie gildii nieudane. 
<길드> 길드 스킬 레벨을 변경할 권한이 없습니다.	<Gildia> Nie możesz zmienić poziomu umiejętności gildii. 
<길드> 길드 스킬은 길드전 중에만 사용할 수 있습니다.	<Gildia> Ta umiejętność gildii może być użyta tylko podczas wojny. 
<길드> 길드 이름이 적합하지 않습니다.	<Gildia> Nazwa gildii jest niepoprawna. 
<길드> 길드가 이미 최고 레벨입니다.	<Gildia> Twoja Gildia osiągnęła już maksymalny poziom. 
<길드> 길드를 생성할 수 없습니다.	<Gildia> Nie możesz stworzyć gildii. 
<길드> 길드를 해산한 지 %d일이 지나지 않은 사람은 길드에 초대할 수 없습니다.	<Gildia> Możesz zapraszać członków dopiero po %d dniach od reorganizacji. 
<길드> 길드에 속해있지 않습니다.	<Gildia> To nie należy do gildii. 
<길드> 길드원 %s 님을 강제 탈퇴 시켰습니다.	<Gildia> Członek Gildii %s został usunięty. 
<길드> 길드원을 강제 탈퇴 시켰습니다.	<Gildia> Członek Gildii został usunięty. 
<길드> 길드원을 강제 탈퇴 시킬 권한이 없습니다.	<Gildia> Nie możesz wyrzucać członków gildii. 
<길드> 길드원을 초대할 권한이 없습니다.	<Gildia> Nie możesz zapraszać osób do Gildii. 
<길드> 길드장으로 직위를 변경할 수 없습니다.	<Gildia> Nie możesz sam siebie mianować mistrzem gildii. 
<길드> 길드장의 권한은 변경할 수 없습니다.	<Gildia> Prawa Lidera Gildii nie mogą zostać zmienione. 
<길드> 길드장의 직위 이름은 변경할 수 없습니다.	<Gildia> Moce Mistrza Gildii nie mogą być zmienione. 
<길드> 길드장의 직위는 변경할 수 없습니다.	<Gildia> Ranga Mistrza Gildii nie może być zmieniona. 
<길드> 길드전에 대한 권한이 없습니다.	<Gildia> Nikt nie ma uprawnień do wojen gildii. 
<길드> 길드전을 하기 위해선 최소한 %d명이 있어야 합니다.	<Gildia> Przynajmniej %d graczy musi uczestniczyć w wojnie gildii. 
<길드> 길드전이 취소 되었습니다.	<Gildia> Wojna gildii została anulowana. 
<길드> 길드전중에는 사냥에 따른 이익이 없습니다.	<Gildia> Podczas wojny gildii nie otrzymuje się Punktów Doświadczenia z polowania. 
<길드> 다른 제국 사람을 길드에 초대할 수 없습니다.	<Gildia> Nie możesz zapraszać do Gildii graczy z innych Królestw. 
<길드> 더이상 장수를 지정할 수 없습니다.	<Gildia> Nie możesz wybrać więcej Liderów. 
<길드> 돈이 부족합니다.	<Gildia> Niewystarczająca ilość Yang. 
<길드> 래더 점수가 %d 점이 되었습니다	<Gildia> Ranga osiągnęła %d Punktów. 
<길드> 레더 점수가 모자라서 길드전을 할 수 없습니다.	<Gildia> Za niska ranga aby uczestniczyć w wojnie gildii. 
<길드> 삭제할 수 없는 글입니다.	<Gildia> Wiadomość nie może zostać usunięta. 
<길드> 상대가 %d 채널에 있습니다. (현재 채널 %d)	<Gildia> Gracz jest na kanale %d (aktualny kanał: %d). 
<길드> 상대가 온라인 상태가 아닙니다.	<Gildia> Gracz nie jest online. 
<길드> 상대방 길드가 이미 전쟁 중 입니다.	<Gildia> Ta gildia jest już zaangażowana w inną wojnę. 
<길드> 상대방 길드의 길드원 수가 부족하여 길드전을 할 수 없습니다.	<Gildia> Gildia nie posiada wystarczająco dużo członków, aby uczestniczyć w wojnie gildii. 
<길드> 상대방 길드의 길드장이 접속중이 아닙니다.	<Gildia> Lider Gildii przeciwnika jest offline. 
<길드> 상대방 길드의 레더 점수가 모자라서 길드전을 할 수 없습니다.	<Gildia> Ta gildia nie posiada wystarczającej liczby punktów rankingu, aby uczestniczyć w wojnie gildii. 
<길드> 상대방 길드의 전비가 부족하여 길드전을 할 수 없습니다.	<Gildia> Gildia nie posiada wystarczającej ilości Yang by uczestniczyć w wojnie gildii. 
<길드> 상대방이 같은 길드가 아닙니다.	<Gildia> Ta osoba nie jest w tej samej gildii. 
<길드> 상대방이 길드 초대 거부 상태입니다.	<Gildia> Gracz odrzucił zaproszenie do Gildii. 
<길드> 상대방이 이미 다른 길드에 속해있습니다.	<Gildia> Ten gracz należy już do innej Gildii. 
<길드> 상대방이 초대 신청을 받을 수 없는 상태입니다.	<Gildia> Ta postać nie może otrzymać twojego zaproszenia. 
