%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Sucesso! Já só preciso de mais %d Livros para o próximo nível. 
%d 냥을 투자하셨습니다.	Investiste %d Yang. 
%d 냥을 획득하셨습니다.	Ganhaste %d Yang. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Tens de atingir o Nível %d para poderes pintar o teu cabelo novamente. 
%d 분 %d 초 동안 채팅금지 상태입니다	Faltam %d minutos e %d segundos para o teu bloqueio de chat passar. 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	Faltam %d horas, %d minutos e %d segundos para o bloqueio de chat passar. 
%d 시간 %d 초 동안 채팅금지 상태입니다	Faltam %d horas e %d segundos para o teu bloqueio de chat passar. 
%d 종류 %d 마리 낚음	Apanhaste %d de %d . 
%d 초 동안 채팅금지 상태입니다	Faltam %d segundos para o bloqueio do chat acabar. 
%d 초 후에 군주의 축복을 사용할 수 있습니다	Daqui a %d segundos poderás usar a Bênção dos Monarcas. 
%d 초간 쿨타임이 적용중입니다.	Tempo de Recuperação de aproximadamente %d segundos. 
%d 초후 목적지로 이동됩니다.	Irás chegar ao teu destino dentro de %d segundos. 
%d%% 확률로 관통 공격	%d%% de probabilidade de Ataque Perfurante. 
%d%% 확률로 적퇴치시 경험치 추가 상승	Se ganhares a tua Experiência será aumentada para %d%%. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Se ganhares o teu Yang será aumentado para %d%%. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% de probabilidade de encheres os Pontos de Vida depois de uma vitória. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Se ganhares a probabilidade de apanhares Itens será aumentada para %d%%. 
%d%% 확률로 적퇴치시 정신력 회복	Se ganhares a tua Mana (MN) será aumentada para %d%%. 
%d%% 확률로 치명타 공격	%d%% de probabilidade de Ataque Crítico. 
%d%% 확률로 타격시 상대 전신력 소모	Probabilidade de %d%% de Mana (Mana) ser roubada ao inimigo. 
%d%% 확률로 피해시 정신력 회복	%d%% de probabilidade de absorção de Mana (MN). 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d de Tempo de Jogo acrescentado à tua conta. (número de pagamento %d) 
%d의 경험치를 획득했습니다.	Recebeste %d Pontos de Experiência. 
%d초 남았습니다.	%d segundos para o servidor desligar. 
%d초 만큼 충전되었습니다.	Foram adicionados %d segundos. 
%d초 후 게임이 셧다운 됩니다.	O jogo será fechado dentro de %d segundos. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s Utilização de FP: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s N.º Mortes %d N.º Mobs Mortos %d N.º Bosses Mortos %d N.º Terra Sagrada %d 
%s 군주 후보에서 삭제하였습니다	%s foi apagado da lista de Candidatos a Monarca. 
%s 군주로 입명 했습니다.	%s foi nomeado Monarca. 
%s 군주르 제거 하였습니다..	O Monarca do Reino %s foi exilado. 
%s 군주를 제거 할수 없습니다.	O Monarca do Reino %s não pode ser exilado. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	A Guild %s declarou Guerra à Guild %s! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	A Guild %s venceu a Guerra contra a Guild %s . 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	A Guild %s capturou a bandeira da Guild %s! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	A Guerra entre as Guilds %s e %s terminou com um empate. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	A Guerra entre as Guilds %s e %s foi cancelada. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	A Guerra entre as Guilds %s e %s começará dentro de alguns minutos! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	A Guerra entre as Guilds %s e %s começou! 
%s 길드의 %s이 %d%% 증가했습니다!	%s da Guild %s aumentou %d%% ! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s da Guild %s voltou ao normal. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	A bandeira da Guild %s foi capturada pelo jogador %s. 
%s 는 군주 후보가 아닙니다.	%s não é um Candidato a Monarca. 
%s 는 군주로 입명할수 없습니다 .	%s não pode ser nomeado Monarca. 
%s 님과의 교환이 성사 되었습니다.	O negócio com %s foi bem sucedido. 
%s 님에게 파티가입 신청을 했습니다.	Queres juntar-te ao Grupo %s? 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s rejeitou o convite. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	O jogador %s está neste momento no Canal %d (O teu Canal %d) 
%s 님은 접속되 있지 않습니다.	%s não está no jogo. 
%s 님은 정상적으로 출마를 하였습니다.	O jogador %s já está na votação. 
%s 님을 소환하였습니다.	Recrutaste %s jogadores. 
%s 님이 대련에서 승리하였습니다.	%s ganhou o Duelo. 
%s 님이 승리하였습니다.	%s ganhou. 
%s 블럭! (%d%%)	%s bloqueado! (%d%%) 
%s 아이템 을 획득하셨습니다	Ganhaste %s Itens. 
%s 아이템이 필요합니다	Precisas de %s. 
%s 에게로 이동합니다	Teleportar para %s. 
%s 회피! (%d%%)	%s evitado! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Esta Guild não existe. 
%s[%d]가 공격 위치: %d %d	%s[%d] Posição de Ataque: %d %d 
%s님과의 대결 시작!	A batalha com %s começou! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s desafiou-te para uma batalha! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s jogou os dados. Obteve %d (%d-%d). 
%s를 구웠습니다.	Colocaste %s na Fogueira. 
%s에 박혀있던 보석이 사라집니다.	Os minérios refinados de %s desaparecem. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	Uma Tocha foi acesa em %s para anunciar uma batalha. 
%s에게 대결신청을 했습니다.	Desafiaste %s para uma batalha. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Estão a decorrer %s Guerras para acender as Tochas. 
%s에서 소켓 빠질때까지 남은 시간 %d	Tempo restante até à remoção do Socket de %s: %d 
%s의 %s이 %d%% 증가했습니다!	Os jogadores do Reino %s têm um aumento de %s em %d%% ! 
%s의 %s이 정상으로 돌아왔습니다.	Os jogadores do Reino %s têm %s normal de novo. 
%s의 군주가 %s 님으로 교체되었습니다.	O Monarca de %s mudou para %s 
%s이 모든 봉화를 파괴하였습니다.	%s destruiu a Tocha. 
%s이 봉화를 파괴했습니다.	%s destruiu a Tocha. 
%s이 수성에 성공했습니다.	%s conseguiu defender com sucesso. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s perderam a Guerra porque não conseguíram defender o Castelo. 
%s이 필요합니다.	Para fazer isto precisas de: %s 
(%s) 길드가 생성되었습니다. [임시]	Guild (%s) foi criada. [Temporária] 
(만료일 : %d년 %d월 %d일)	(Procedimento: %d y- %d m - %d d) 
. 너희가 성지의 수호자를 잡게 된다면 너희는 성지의 주인이 된다.[ENTER][ENTER] 	Se derrotares o Guarda do lugar sagrado irás tornar-te o dono desse lugar. 
1-50 사이의 수치를 선택해주세요	Escolhe um número entre 1 e 50. 
10초뒤 다음 판을 시작합니다.	A próxima ronda começa dentro de 10 segundos. 
10초뒤 대련이 시작됩니다.	O combate começa dentro de 10 segundos. 
10초뒤 마을로 되돌아갑니다.	Vais ser teleportado para a cidade dentro de 10 segundos. 
10초뒤 마을로 이동합니다.	Vais ser teleportado para a cidade dentro de 10 segundos. 
10초뒤 판정하겠습니다.	A resposta será exibida dentro de 10 segundos. 
10초후 자동으로 접속이 종료되며,	Serás desligado do servidor dentro de 10 segundos. 
1분 이내에 아무도 접속하지 않으면 길드전이 자동 종료됩니다.	Se nenhum Inimigo puder ser encontrado a Guerra de Guilds irá terminar automaticamente. 
20억 냥을 초과하여 상점을 열수가 없습니다	Não podes negociar porque tens mais de 2 Biliões de Yang contigo. 
20억냥이 초과하여 물품을 팔수 없습니다.	Tens mais de 2 Biliões de Yang contigo. Não podes negociar. 
30분이 경과했습니다.. 봉화가 사라집니다.	Os 30 minutos terminaram. As Tochas desapareceram. 
5분 후에 정상적으로 접속하실수 있습니다.	Poderás ligar-te após 5 minutos. 
5초 뒤 틀리신 분들을 바깥으로 이동 시키겠습니다.	Daqui a 5 segundos todos os participantes que deram uma resposta errada irão ser removidos. 
<길드> %d 스킬을 사용함 (%d, %d) to %u	<Guild> %d Habilidades usadas (%d, %d) para %u. 
<길드> %s 길드가 길드전을 거부하였습니다.	<Guild> A Guild %s rejeitou a Guerra. 
<길드> %u의 경험치를 투자하였습니다.	<Guild> %u Pontos de Experiência dados. 
<길드> %u의 용신력을 회복하였습니다.	<Guild> %u Dragões Fantasma restaurados. 
<길드> [%s] 길드가 생성되었습니다.	<Guild> A Guild [%s] foi criada. 
<길드> 가지고 있는 돈이 부족합니다.	<Guild> Não tens Yang suficiente. 
<길드> 경험치 투자에 실패하였습니다.	<Guild> A doação de Experiência não foi bem sucedida. 
<길드> 공지글을 작성할 권한이 없습니다.	<Guild> Não podes criar anúncios. 
<길드> 그러한 사람을 찾을 수 없습니다.	<Guild> O jogador procurado não pôde ser encontrado. 
<길드> 그런 길드가 없습니다.	<Guild> Esta Guild não existe. 
<길드> 길드 금고에선 길드장만 출금할 수 있습니다.	<Guild> Apenas o Líder da Guild poderá retirar o Yang. 
<길드> 길드 생성에 실패하였습니다.	<Guild> A criação de uma Guild não foi bem sucedida. 
<길드> 길드 스킬 레벨을 변경할 권한이 없습니다.	<Guild> Não podes mudar o Nível das Habilidades de Guild. 
<길드> 길드 스킬은 길드전 중에만 사용할 수 있습니다.	<Guild> Esta Habilidade de Guild só pode ser usada em Guerras. 
<길드> 길드 이름이 적합하지 않습니다.	<Guild> O Nome da Guild é inválido. 
<길드> 길드가 이미 최고 레벨입니다.	<Guild> A guild já atingiu o nível máximo. 
<길드> 길드를 생성할 수 없습니다.	<Guild> Não podes criar uma Guild. 
<길드> 길드를 해산한 지 %d일이 지나지 않은 사람은 길드에 초대할 수 없습니다.	<Guild> Depois da reorganização irás poder convidar membros de novo daqui a %d dias. 
<길드> 길드에 속해있지 않습니다.	<Guild> Não pertence à Guild. 
<길드> 길드원 %s 님을 강제 탈퇴 시켰습니다.	<Guild> O Membro %s foi excluído da Guild. 
<길드> 길드원을 강제 탈퇴 시켰습니다.	<Guild> Excluíste um Membro da Guild. 
<길드> 길드원을 강제 탈퇴 시킬 권한이 없습니다.	<Guild> Não podes excluir Membros da Guild. 
<길드> 길드원을 초대할 권한이 없습니다.	<Guild> Não podes convidar jogadores para a Guild. 
<길드> 길드장으로 직위를 변경할 수 없습니다.	<Guild> Não te podes auto-proclamar Líder da Guild. 
<길드> 길드장의 권한은 변경할 수 없습니다.	<Guild> Os poderes do Líder da Guild não podem ser alterados. 
<길드> 길드장의 직위 이름은 변경할 수 없습니다.	<Guild> Os poderes do Líder da Guild não podem ser alterados. 
<길드> 길드장의 직위는 변경할 수 없습니다.	<Guild> O estatuto do Líder da Guild não pode ser alterado. 
<길드> 길드전에 대한 권한이 없습니다.	<Guild> Nenhum jogador é elegível para uma Guerra de Guilds. 
<길드> 길드전을 하기 위해선 최소한 %d명이 있어야 합니다.	<Guild> Pelo menos %d jogadores são precisos para participar numa Guerra de Guilds. 
<길드> 길드전이 취소 되었습니다.	<Guild> A Guerra foi cancelada. 
<길드> 길드전중에는 사냥에 따른 이익이 없습니다.	<Guild> Não há pontos de experiência para a caça durante a Guerra de Guilds. 
<길드> 다른 제국 사람을 길드에 초대할 수 없습니다.	<Guild> Não podes convidar jogadores de outro Reino para a Guild. 
<길드> 더이상 장수를 지정할 수 없습니다.	<Guild> Não podes escolher mais Líderes. 
<길드> 돈이 부족합니다.	<Guild> Yang insuficiente. 
<길드> 래더 점수가 %d 점이 되었습니다	<Guild> A Guild atingiu os %d Pontos. 
<길드> 레더 점수가 모자라서 길드전을 할 수 없습니다.	<Guild> O Nível é demasiado baixo para participar numa Guerra de Guilds. 
<길드> 삭제할 수 없는 글입니다.	<Guild> A mensagem não pode ser apagada. 
<길드> 상대가 %d 채널에 있습니다. (현재 채널 %d)	<Guild> O jogador encontra-se no Canal %d. (O teu Canal actual: %d) 
<길드> 상대가 온라인 상태가 아닙니다.	<Guild> O jogador não se encontra online. 
<길드> 상대방 길드가 이미 전쟁 중 입니다.	<Guild> Esta Guild já está a participar numa Guerra. 
<길드> 상대방 길드의 길드원 수가 부족하여 길드전을 할 수 없습니다.	<Guild> A Guild não tem membros suficiente para participar numa Guerra de Guilds. 
<길드> 상대방 길드의 길드장이 접속중이 아닙니다.	<Guild> O Líder da Guild inimiga não se encontra ligado. 
<길드> 상대방 길드의 레더 점수가 모자라서 길드전을 할 수 없습니다.	<Guild> A Guild não tem Pontos de Experiência suficientes para participar numa Guerra de Guilds. 
<길드> 상대방 길드의 전비가 부족하여 길드전을 할 수 없습니다.	<Guild> A Guild não tem Yang suficiente para participar numa Guerra de Guilds. 
<길드> 상대방이 같은 길드가 아닙니다.	<Guild> Este jogador não está na mesma Guild. 
<길드> 상대방이 길드 초대 거부 상태입니다.	<Guild> O jogador rejeitou o teu convite para a Guild. 
<길드> 상대방이 이미 다른 길드에 속해있습니다.	<Guild> Este jogador já é membro de outra Guild. 
<길드> 상대방이 초대 신청을 받을 수 없는 상태입니다.	<Guild> A pessoa que está do lado oposto não pode receber o convite. 
<길드> 용신력 회복에 실패하였습니다.	<Guild> Os Dragões Fantasma não foram restaurados. 
<길드> 용신력이 부족합니다. (%d, %d)	<Guild> Dragões Fantasma insuficientes. (%d, %d) 
<길드> 이미 같은 이름의 길드가 있습니다.	<Guild> Este Nome de Guild já está em uso. 
<길드> 이미 다른 전쟁에 참전 중 입니다.	<Guild> A tua Guild já está a participar noutra Guerra. 
<길드> 이미 전쟁 중인 길드입니다.	<Guild> Esta Guild já está a participar noutra Guerra. 
<길드> 이미 전쟁이 예약된 길드 입니다.	<Guild> Esta Guild já está notificada para outra Guerra de Guilds. 
<길드> 잘못된 금액입니다.	<Guild> Essa quantidade de Yang não está correcta. 
<길드> 잠시후에 이용해주십시오	<Guild> Por favor tenta de novo mais tarde. 
