%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Trebuie sa citesti inca %d pentru a avea succes. 
%d 냥을 투자하셨습니다.	Ai investit %d Yang. 
%d 냥을 획득하셨습니다.	Ai cвєtigat %d Yang. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Trebuie sг atingi nivelul %d pentru a-юi putea vopsi pгrul iar. 
%d 분 %d 초 동안 채팅금지 상태입니다	%d min %d sec ramase pana la expirarea MUTE-ului 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	%d ore %d min %d sec ramase pana la expirarea MUTE-ului. 
%d 시간 %d 초 동안 채팅금지 상태입니다	%d ore %d sec ramase pana la expirarea MUTE-ului. 
%d 종류 %d 마리 낚음	Ai prins %d de %d. 
%d 초 동안 채팅금지 상태입니다	%d secunde ramase pana la deblocarea chatului 
%d 초 후에 군주의 축복을 사용할 수 있습니다	Binecuvвntarea оmpгratului poate fi folositг dupг %d sec. 
%d 초간 쿨타임이 적용중입니다.	Timp de cooldown de aproximativ %d secunde 
%d 초후 목적지로 이동됩니다.	%d secunde de la executare ajungi la locul cu pricina. 
%d%% 확률로 관통 공격	Atac pгtrunzгtor cu єansa %d%% 
%d%% 확률로 적퇴치시 경험치 추가 상승	Creєterea experienюei cu %d%% оn cazul оnfrвngerii inamicului. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Creєterea Yang-ului capturat cu %d%% оn cazul оnfrвngerii inamicului. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% єansг de a-юi umple PV dupг o victorie. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Creєterea obiectelor capturate cu %d%% оn cazul оnfrвngerii inamicului. 
%d%% 확률로 적퇴치시 정신력 회복	Creєtere mana cu %d%% оn cazul оnfrвngerii inamicului. 
%d%% 확률로 치명타 공격	Atac critic cu єansa %d%% 
%d%% 확률로 타격시 상대 전신력 소모	Mana este luatг de la inamic cu o probabilitate de %d%%. 
%d%% 확률로 피해시 정신력 회복	Probabilitate de absorbire mana %d%%. 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	Contului tгu оi este adгugat %d timp de joc. (Nr. platг %d) 
%d의 경험치를 획득했습니다.	Ai primit %d experienюг. 
%d초 남았습니다.	%d secunde pвnг la final. 
%d초 만큼 충전되었습니다.	%d de secunde au fost adaugate. 
%d초 후 게임이 셧다운 됩니다.	Jocul se sfвrєeєte оn %d secunde. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s Consum de FP: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s killcount %d mobkillcount %d bosskillcount %d Numгr Pгmвnt Sfвnt %d 
%s 군주 후보에서 삭제하였습니다	%s a fost єters ca єi candidat ca оmpгrat. 
%s 군주로 입명 했습니다.	%s este numit оmpгrat. 
%s 군주르 제거 하였습니다..	Оmpгratul %s este оnlгturat. 
%s 군주를 제거 할수 없습니다.	Оmpгratul %s nu paote fi оnlгturat. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	Breasla %s a declarat rгzboi breslei %s! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	Breasla %s a cвєtigat rгzboiul оmpotriva breslei %s. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s a cucerit steagul %s! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	Rгzboiul dintre breslele %s єi %s s-a terminat la egalitate. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	Rгzboiul оntrebreslele  %s єi %s a fost оntrerupt. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	Rгzboiul оntre %s єi %s оncepe оn cвteva minute. 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	Rгzboiul оntre breslele %s єi %s a оnceput! 
%s 길드의 %s이 %d%% 증가했습니다!	%s al breslei %s a crescut cu %d%%! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s al breslei %s s-a normalizat. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	Steagul breslei %s a fost furat de %s. 
%s 는 군주 후보가 아닙니다.	%s nu este candidat ca оmpгrat. 
%s 는 군주로 입명할수 없습니다 .	%s nu poate fi numit оmpгrat. 
%s 님과의 교환이 성사 되었습니다.	Negoюul cu %s a reuєit. 
%s 님에게 파티가입 신청을 했습니다.	Doreєti sг te alгturi grupei lui %s. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s a refuzat invitaюia. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	Jucгtorul %s se aflг оn canalul %d. (Canalul tгu: %d) 
%s 님은 접속되 있지 않습니다.	%s nu este online. 
%s 님은 정상적으로 출마를 하였습니다.	Jucгtorul %s este deja оn alegere. 
%s 님을 소환하였습니다.	Ai recrutat %s jucгtori. 
%s 님이 대련에서 승리하였습니다.	%s a cвєtigat duelul. 
%s 님이 승리하였습니다.	%s a cвєtigat. 
%s 블럭! (%d%%)	Blocheazг %s! (%d%%) 
%s 아이템 을 획득하셨습니다	Ai cгєtigat obiectul %s. 
%s 아이템이 필요합니다	Ai nevoie de %s. 
%s 에게로 이동합니다	Tragere la jucгtorul %s. 
%s 회피! (%d%%)	Eschiveazг %s! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Aceastг breaslг nu existг. 
%s[%d]가 공격 위치: %d %d	%s[%d] Pozitie de atac: %d %d 
%s님과의 대결 시작!	Lupta cu %s a оnceput! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s te-a provocat la luptг! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s zaruri aruncate. El/ea a primit %d (%d-%d). 
%s를 구웠습니다.	Prгjeєti %s deasupra focului. 
%s에 박혀있던 보석이 사라집니다.	Pietrele preюioase din %s au dispгrut. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	La %s s-a aprins un foc de iluminare pentru a avertiza оn legгturг cu o luptг. 
%s에게 대결신청을 했습니다.	L-ai provocat pe %s la luptг. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Оn %s este rгzboi pentru a aprinde focurile de iluminare. 
%s에서 소켓 빠질때까지 남은 시간 %d	Timp ramas pana la inlaturarea soket-ului din %s: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s a crescut cu %d%%! 
%s의 %s이 정상으로 돌아왔습니다.	%s al lui %s s-a normalizat. 
%s의 군주가 %s 님으로 교체되었습니다.	Оmpгratul lui %s a fost schimbat оn %s. 
%s이 모든 봉화를 파괴하였습니다.	%s a distrus toate focurile de iluminare. 
%s이 봉화를 파괴했습니다.	%s a distrus focul de iluminare. 
%s이 수성에 성공했습니다.	Lui %s i-a reuєit apгrarea. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s a pierdut rгzboiul pentru ca nu au putut sг apere castelul. 
%s이 필요합니다.	Pentru aceasta actiune ai nevoie de: %s 
(%s) 길드가 생성되었습니다. [임시]	(%s) a fost creat. [Temporar] 
(만료일 : %d년 %d월 %d일)	(Desfгєurare: %d j- %d m - %d t) 
. 너희가 성지의 수호자를 잡게 된다면 너희는 성지의 주인이 된다.[ENTER][ENTER] 	Dacг оl оnvingeюi pe paznicul Locului Sfвnt, veюi fi deюinгtorii Locului Sfвnt. 
1-50 사이의 수치를 선택해주세요	Alege un numгr оntre 1 єi 50. 
10초뒤 다음 판을 시작합니다.	Оn 10 secunde оncepe runda urmгtoare. 
10초뒤 대련이 시작됩니다.	Lupta оncepe оn 10 secunde. 
10초뒤 마을로 되돌아갑니다.	Оn 10 secunde vei fi teleportat оn oraє. 
10초뒤 마을로 이동합니다.	Оn 10 secunde vei fi teleportat оn oraє. 
10초뒤 판정하겠습니다.	Decizia urmeazг оn 10 secunde. 
10초후 자동으로 접속이 종료되며,	Оn 10 secunde vei fi deconectat automat. 
1분 이내에 아무도 접속하지 않으면 길드전이 자동 종료됩니다.	Dacг nu se gгseєte un inamic rгzboiul breslei va fi оncheiat automat. 
20억 냥을 초과하여 상점을 열수가 없습니다	Nu poюi negocia deoarece ai mai mult de 2 Mil de Yang la tine. 
20억냥이 초과하여 물품을 팔수 없습니다.	Nu poюi negocia deoarece ai mai mult de 2 Mil Yang la tine. 
30분이 경과했습니다.. 봉화가 사라집니다.	Au trecut 30 de minute. Focurile de iluminare au dispгrut. 
5분 후에 정상적으로 접속하실수 있습니다.	Te poюi conecta dupг 5 minute. 
5초 뒤 틀리신 분들을 바깥으로 이동 시키겠습니다.	Dupг 5 sec. vor fi оndepгrtaюi toюi jucгtorii care au dat un rгspuns greєit. 
<길드> %d 스킬을 사용함 (%d, %d) to %u	<Breasla> Competenюa %d a fost folositг (%d, %d) pe %u. 
<길드> %s 길드가 길드전을 거부하였습니다.	<Breasla> %s a refuzat rгzboiul breslei. 
<길드> %u의 경험치를 투자하였습니다.	<Breasla> %u experienta primita. 
<길드> %u의 용신력을 회복하였습니다.	<Breasla> Punctele de Spirit al Dragonului ale lui %u au fost refгcute. 
<길드> [%s] 길드가 생성되었습니다.	<Breasla> [%s] a fost formatг. 
<길드> 가지고 있는 돈이 부족합니다.	<Breasla> Nu ai destui Yang la tine. 
<길드> 경험치 투자에 실패하였습니다.	<Breasla> Punerea оn practicг a experienюei eєuatг. 
<길드> 공지글을 작성할 권한이 없습니다.	<Breasla> Nu ai dreptul sг faci un anunю. 
<길드> 그러한 사람을 찾을 수 없습니다.	<Breasla> Persoana cгutatг nu poate si gгsitг. 
<길드> 그런 길드가 없습니다.	<Breaslг> Nu existг nici o breaslг cu acest nume. 
<길드> 길드 금고에선 길드장만 출금할 수 있습니다.	<Guild> Doar liderul breslei poate retrage Yang. 
<길드> 길드 생성에 실패하였습니다.	<Breasla> Formarea breslei eєuatг. 
<길드> 길드 스킬 레벨을 변경할 권한이 없습니다.	<Breasla> Nu ai dreptul de a schimba nivelul competenюelor breslei. 
<길드> 길드 스킬은 길드전 중에만 사용할 수 있습니다.	<Breasla> Competenюa de breaslг poate fi folositг doar оn rгzboi. 
<길드> 길드 이름이 적합하지 않습니다.	<Breasla> Numele breslei nu este valabil. 
<길드> 길드가 이미 최고 레벨입니다.	<Breaslг> Breasla ta a ajuns deja la lvl maxim posibil. 
<길드> 길드를 생성할 수 없습니다.	<Breasla> Nu poюi forma o breaslг. 
<길드> 길드를 해산한 지 %d일이 지나지 않은 사람은 길드에 초대할 수 없습니다.	<Breasla> Poюi invita noi membri doar peste %d zile de la reformare. 
<길드> 길드에 속해있지 않습니다.	<Breasla> Nu aparюine breslei. 
<길드> 길드원 %s 님을 강제 탈퇴 시켰습니다.	<Breasla> Membrul %s a fost exclus din breaslг. 
<길드> 길드원을 강제 탈퇴 시켰습니다.	<Breasla> Ai concediat un membru al breslei. 
<길드> 길드원을 강제 탈퇴 시킬 권한이 없습니다.	<Breasla> Nu ai dreptul de a concedia un membru al breslei. 
<길드> 길드원을 초대할 권한이 없습니다.	<Breasla> Nu ai dreptul sг inviюi pe cineva оn breaslг. 
<길드> 길드장으로 직위를 변경할 수 없습니다.	<Breasla> Nu оюi poюi schimba poziюia оn cea de maestru al breslei. 
<길드> 길드장의 권한은 변경할 수 없습니다.	<Guild> Drepturile liderului breslei nu pot fi schimbate. 
<길드> 길드장의 직위 이름은 변경할 수 없습니다.	<Guild> Drepturile liderului breslei nu pot fi schimbate. 
<길드> 길드장의 직위는 변경할 수 없습니다.	<Guild> Poziюia liderului breslei nu poate sa fie schimbatг. 
<길드> 길드전에 대한 권한이 없습니다.	<Breasla> Nu existг dreptul la un rгzboi al breslelor. 
<길드> 길드전을 하기 위해선 최소한 %d명이 있어야 합니다.	<Breasla> E nevoie de minim %d jucгtori pentru a participa la un rгzboi al breslei. 
<길드> 길드전이 취소 되었습니다.	<Breasla> Rгzboiul breslei a fost оntrerupt. 
<길드> 길드전중에는 사냥에 따른 이익이 없습니다.	<Breasla> Оn timpul unui rгzboi nu existг puncte de experienюг pentru vвnгtoare. 
<길드> 다른 제국 사람을 길드에 초대할 수 없습니다.	<Breasla> Jucгtori din alt regat nu pot fi invitaюi оn breaslг. 
<길드> 더이상 장수를 지정할 수 없습니다.	<Guild> Nu mai poюi alege alюi lideri pentru breasla. 
<길드> 돈이 부족합니다.	<Breasla> Yang insufucient. 
<길드> 래더 점수가 %d 점이 되었습니다	<Breasla> Breasla a atins %d puncte. 
<길드> 레더 점수가 모자라서 길드전을 할 수 없습니다.	<Breasla> Nivelul breslei este prea scгzut pentru a participa la un rгzboi al breslelor. 
<길드> 삭제할 수 없는 글입니다.	<Breasla> Mesajul nu poate fi єters. 
<길드> 상대가 %d 채널에 있습니다. (현재 채널 %d)	<Breasla> Jucгtorul se aflг оn canalul %d. (Canal actual: %d) 
<길드> 상대가 온라인 상태가 아닙니다.	<Breasla> Jucгtorul nu este online. 
<길드> 상대방 길드가 이미 전쟁 중 입니다.	<Breasla> Breasla se aflг deja оn rгzboi. 
<길드> 상대방 길드의 길드원 수가 부족하여 길드전을 할 수 없습니다.	<Breasla> Breasla nu are destui membri pentru a participa la un rгzboi al breslelor. 
<길드> 상대방 길드의 길드장이 접속중이 아닙니다.	<Alianюг> Liderul alianюei inamice este offline. 
<길드> 상대방 길드의 레더 점수가 모자라서 길드전을 할 수 없습니다.	<Breasla> Breasla nu are destule puncte pentru a participa la un rгzboi al breslelor. 
<길드> 상대방 길드의 전비가 부족하여 길드전을 할 수 없습니다.	<Breasla> Breasla nu are destul Yang pentru a participa la un rгzboi al breslelor. 
<길드> 상대방이 같은 길드가 아닙니다.	<Breasla> Persoana nu aparюine aceleiaєi bresle. 
<길드> 상대방이 길드 초대 거부 상태입니다.	<Breasla> Jucгtorul refuzг invitaюia breslei. 
<길드> 상대방이 이미 다른 길드에 속해있습니다.	<Breasla> Persoana aparюine deja unei alte bresle. 
<길드> 상대방이 초대 신청을 받을 수 없는 상태입니다.	<Breaslг> Persoana care stг оn faюa ta nu poate primi invitaюia. 
<길드> 용신력 회복에 실패하였습니다.	<Breasla> Spiritul Dragonului nu a fost refгcut. 
<길드> 용신력이 부족합니다. (%d, %d)	<Breasla> Spiritul Dragonului insuficient. (%d, %d) 
<길드> 이미 같은 이름의 길드가 있습니다.	<Breasla> Acest nume de breaslг este deja folosit. 
<길드> 이미 다른 전쟁에 참전 중 입니다.	<Breasla> Breasla ta participг deja la alt rгzboi. 
<길드> 이미 전쟁 중인 길드입니다.	<Breasla> Breasla se aflг deja оntr-un rгzboi. 
<길드> 이미 전쟁이 예약된 길드 입니다.	<Breasla> Breasla este rezervatг pentru alt rгzboi. 
<길드> 잘못된 금액입니다.	<Breasla> Suma de Yang nu e corectг. 
<길드> 잠시후에 이용해주십시오	<Breasla> Оncearcг dinnou mai tвrziu. 
<길드> 잠시후에 이용해주십시오.	<Breasla> Оncearcг dinnou mai tвrziu. 
<길드> 장군을 지정할 권한이 없습니다.	<Guild> Nu ai dreptul sa alegi liderul breslei. 
<길드> 적합하지 않은 직위 이름 입니다.	<Breasla> Numele gradului nu este valabil. 
<길드> 전비가 부족하여 길드전을 할 수 없습니다.	<Breasla> Yang insufucient pentru a participa la un rгzboi al breslelor. 
<길드> 제공하고자 하는 경험치가 남은 경험치보다 많습니다.	<Breasla> Experienюa oferitг este mai mare decвt experienюa rгmasг. 
