%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Bu yeteneği geliştirmek için %d Yetenek Kitabı daha okumalısınız. 
%d 냥을 투자하셨습니다.	%d Yang yatırdın. 
%d 냥을 획득하셨습니다.	%d Yang kazandın. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Saçını tekrar boyayabilmek için %d. seviyeye ulaşman gerekli. 
%d 분 %d 초 동안 채팅금지 상태입니다	Sohbet bloklamanızın kalkmasına %d dakika %d saniye kaldı 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	Sohbet bloklamanızın kalkmasına %d saat %d dakika %d saniye kaldı 
%d 시간 %d 초 동안 채팅금지 상태입니다	Sohbet bloklamanızın kalkmasına %d saat %d saniye kaldı 
%d 종류 %d 마리 낚음	%d nın %d Yakaladın. 
%d 초 동안 채팅금지 상태입니다	Sohbet engelinizin kalkmasına %d saniye kaldı 
%d 초 후에 군주의 축복을 사용할 수 있습니다	%d saniye sonra İmparator Kutsamasını kullanabilirsin. 
%d 초간 쿨타임이 적용중입니다.	Dinlenme Süresi yaklaşık %d saniye 
%d 초후 목적지로 이동됩니다.	%d saniye içinde hedefte olacaksın. 
%d%% 확률로 관통 공격	Delici saldırı şansı %d%% 
%d%% 확률로 적퇴치시 경험치 추가 상승	Eğer kazanırsan tecrübe %d%% artacak. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Eğer kazanırsan Yang %d%% artacak. 
%d%% 확률로 적퇴치시 생명력 회복	Kazandıktan sonra hayat puanın %d%% oranında artacak. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Eğer kazanırsan ele geçirilen nesne %d%% artacak. 
%d%% 확률로 적퇴치시 정신력 회복	Eğer kazanırsan SP %d%% artacak. 
%d%% 확률로 치명타 공격	Kritik saldırı şansı %d%% 
%d%% 확률로 타격시 상대 전신력 소모	%d%% oranında SP düşmandan çalma şansı. 
%d%% 확률로 피해시 정신력 회복	Oranında SP emiliyor %d%% . 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d oyun süresi hesabınıza eklendi. (Ödeme Numarası %d) 
%d의 경험치를 획득했습니다.	%d Tecrübe Puanı kazandın. 
%d초 남았습니다.	%d saniye sonra oyun kapanacak. 
%d초 만큼 충전되었습니다.	%d saniye eklendi. 
%d초 후 게임이 셧다운 됩니다.	Oyun %d saniye sonra kapanacak. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s FP Kullanımı: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s öldürülen %d öldürülen mob %d öldürülen lider %d Kutsal alan numarası %d 
%s 군주 후보에서 삭제하였습니다	İmparator adayı olarak %s silindi. 
%s 군주로 입명 했습니다.	%s İmparator adayı olarak gösterildi. 
%s 군주르 제거 하였습니다..	%s İmparatorluk görevini bıraktı. 
%s 군주를 제거 할수 없습니다.	%s İmparatoru görevi bırakamaz. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	%s, %s loncasına karşı savaş ilan etti! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	Lonca savaşında %s, %s loncasına karşı kazandı. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s Loncası %s Loncasının bayrağını ele geçirdi! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	%s ile %s arasındaki lonca savaşı berabere sonuçlandı! 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	%s ile %s arasındaki lonca savaşı iptal oldu! 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	%s ile %s arasındaki lonca savaşı birkaç dakika içinde başlayacak! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	%s ile %s arasında lonca savaşı başladı! 
%s 길드의 %s이 %d%% 증가했습니다!	Loncanın %s %s %d%% derecesine yükseldi! 
%s 길드의 %s이 정상으로 돌아왔습니다.	Loncanın %s %s tekrar normal. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	%s loncasının bayrağı, %s tarafından çalındı. 
%s 는 군주 후보가 아닙니다.	%s İmparator olmak için bir aday değil. 
%s 는 군주로 입명할수 없습니다 .	%s İmparatorluğa aday olamaz. 
%s 님과의 교환이 성사 되었습니다.	%s ile olan ticaret başarıyla gerçekleşti. 
%s 님에게 파티가입 신청을 했습니다.	%s Grubuna katılmak istiyor musun? 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s daveti reddetti. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	%s şuanda %d kanalında. (Kanalınız: %d) 
%s 님은 접속되 있지 않습니다.	%s çevrimiçi değil. 
%s 님은 정상적으로 출마를 하였습니다.	%s oyuncu zaten oylamada. 
%s 님을 소환하였습니다.	%s oyuncuları iyileştirdin. 
%s 님이 대련에서 승리하였습니다.	Düelloyu %s kazandı. 
%s 님이 승리하였습니다.	%s kazandı. 
%s 블럭! (%d%%)	%s engelle! (%d%%) 
%s 아이템 을 획득하셨습니다	%s eşyasını kazandın. 
%s 아이템이 필요합니다	%s gerekli. 
%s 에게로 이동합니다	%s yanına naklet. 
%s 회피! (%d%%)	%s kaç! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Lonca bulunamadı. 
%s[%d]가 공격 위치: %d %d	%s[%d] Saldırı pozisyonu: %d %d 
%s님과의 대결 시작!	%s ile olan savaş başladı! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s seni savaşa davet ediyor! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s zar attı. Sonuç %d (%d-%d). 
%s를 구웠습니다.	Ateşte %s kızartıyorsun. 
%s에 박혀있던 보석이 사라집니다.	%s mücevheri kayboldu. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	%s de savaş yüzünden bir uyarı ateşi yakıldı. 
%s에게 대결신청을 했습니다.	%s savaşa davet ettiniz. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Ateşleri yakmak için %s savaşları var. 
%s에서 소켓 빠질때까지 남은 시간 %d	%sgirişinin silinmesine kalan süre : %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s, %d%% oranında yükseldi! 
%s의 %s이 정상으로 돌아왔습니다.	%s 's %s tekrar normal. 
%s의 군주가 %s 님으로 교체되었습니다.	%s İmparatoru %s oldu. 
%s이 모든 봉화를 파괴하였습니다.	%s ateşi yok etti. 
%s이 봉화를 파괴했습니다.	%s ateşi yok etti. 
%s이 수성에 성공했습니다.	%s başarıyla savundu. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s kaleyi koruyamadığı için savaşı kaybetti. 
%s이 필요합니다.	Bu hareket için gereken: %s 
(%s) 길드가 생성되었습니다. [임시]	(%s) Lonca kuruldu. [Temporary] 
(만료일 : %d년 %d월 %d일)	(Prosedür: %d y- %d m - %d d) 
. 너희가 성지의 수호자를 잡게 된다면 너희는 성지의 주인이 된다.[ENTER][ENTER] 	Eğer Kutsal Alanın Bekçisini öldürürsen, onun sahibi olacaksın. 
1-50 사이의 수치를 선택해주세요	1 - 50 arasında bir rakam seç. 
10초뒤 다음 판을 시작합니다.	Bir sonraki raund 10 saniye içerisinde başlayacak. 
10초뒤 대련이 시작됩니다.	Savaş 10 saniye içerisinde başlayacak. 
10초뒤 마을로 되돌아갑니다.	10 saniye içerisinde şehre ışınlanmış olacaksınız. 
10초뒤 마을로 이동합니다.	10 Saniye içerisinde şehre ışınlanmış olacaksınız. 
10초뒤 판정하겠습니다.	Sonucu 10 saniye içinde alacaksın. 
10초후 자동으로 접속이 종료되며,	10 saniye içinde bağlantınız kesilecek. 
1분 이내에 아무도 접속하지 않으면 길드전이 자동 종료됩니다.	Eğer düşman bulunamazsa Lonca Savaşı otomatik olarak biter. 
20억 냥을 초과하여 상점을 열수가 없습니다	Ticaret yapamazsınız çünkü beraberinizde 2 milyardan fazla  Yang taşıyorsunuz. 
20억냥이 초과하여 물품을 팔수 없습니다.	2 milyardan fazla Yang taşıyorsun, ticaret yapamazsın. 
30분이 경과했습니다.. 봉화가 사라집니다.	30 dakika doldu. Ateşler yok oldu. 
5분 후에 정상적으로 접속하실수 있습니다.	5 dakika sonra tekrar bağlanabilirsiniz. 
5초 뒤 틀리신 분들을 바깥으로 이동 시키겠습니다.	Yanlış cevap veren katılımcılar 5 saniye sonra silinecekler. 
<길드> %d 스킬을 사용함 (%d, %d) to %u	<Guild> %d becerisi (%d, %d) %u üzerine uygulandı. 
<길드> %s 길드가 길드전을 거부하였습니다.	<Guild> %s Lonca savaşını reddetti. 
<길드> %u의 경험치를 투자하였습니다.	<Guild> %u Tecrübe kullanıldı. 
<길드> %u의 용신력을 회복하였습니다.	<Guild> %u oranında Ejderha Hayaleti Puanı yüklendi. 
<길드> [%s] 길드가 생성되었습니다.	<Guild> [%s] Lonca kuruldu. 
<길드> 가지고 있는 돈이 부족합니다.	<Guild> Yeterli Yang yok. 
<길드> 경험치 투자에 실패하였습니다.	<Guild> Tecrübe kullanımı başarısız oldu. 
<길드> 공지글을 작성할 권한이 없습니다.	<Guild> Duyuru yapamazsın. 
<길드> 그러한 사람을 찾을 수 없습니다.	<Guild> İstenen oyuncu bulunamadı. 
<길드> 그런 길드가 없습니다.	<Guild> Bu isimde bir Lonca bulunamadı. 
<길드> 길드 금고에선 길드장만 출금할 수 있습니다.	<Guild> Sadece Lonca lideri Yang çekebilir. 
<길드> 길드 생성에 실패하였습니다.	<Guild> Lonca kurulamadı. 
<길드> 길드 스킬 레벨을 변경할 권한이 없습니다.	<Guild> Lonca Becerilerinin Seviyesini değiştiremezsin. 
<길드> 길드 스킬은 길드전 중에만 사용할 수 있습니다.	<Guild> Bu Lonca Becerisi sadece savaşlarda kullanılabilir. 
<길드> 길드 이름이 적합하지 않습니다.	<Guild> Lonca adı hatalı. 
<길드> 길드가 이미 최고 레벨입니다.	<Lonca> Loncanız zaten en yüksek seviyeye ulaştı. 
<길드> 길드를 생성할 수 없습니다.	<Guild> Lonca kuramazsın. 
<길드> 길드를 해산한 지 %d일이 지나지 않은 사람은 길드에 초대할 수 없습니다.	<Guild> Düzenlemeden sonraki  %d gün içinde üyeleri davet edebilirsin. 
<길드> 길드에 속해있지 않습니다.	<Guild> Bu Loncaya ait değil. 
<길드> 길드원 %s 님을 강제 탈퇴 시켰습니다.	<Guild> Lonca Üyesi %s Loncadan atıldı. 
<길드> 길드원을 강제 탈퇴 시켰습니다.	<Guild> Lonca üyesini attın. 
<길드> 길드원을 강제 탈퇴 시킬 권한이 없습니다.	<Guild> Lonca Üyelerini atamazsın. 
<길드> 길드원을 초대할 권한이 없습니다.	<Guild> Loncaya birini davet edemezsin. 
<길드> 길드장으로 직위를 변경할 수 없습니다.	<Guild> Kendini Lonca lideri yapamazsın. 
<길드> 길드장의 권한은 변경할 수 없습니다.	<Guild> Lonca Liderinin yetkileri değiştirilemez. 
<길드> 길드장의 직위 이름은 변경할 수 없습니다.	<Guild> Lonca Liderinin gücü değiştirilemez. 
<길드> 길드장의 직위는 변경할 수 없습니다.	<Guild> Lonca liderinin rütbesi değiştirilemez. 
<길드> 길드전에 대한 권한이 없습니다.	<Guild> Lonca savaşı için kimse yetkilendirilmedi. 
<길드> 길드전을 하기 위해선 최소한 %d명이 있어야 합니다.	<Guild> Lonca savaşına en az %d oyuncu katılması gerekiyor. 
<길드> 길드전이 취소 되었습니다.	<Guild> Lonca savaşı iptal oldu. 
<길드> 길드전중에는 사냥에 따른 이익이 없습니다.	<Guild> Lonca savaşı sırasında avlanma, Tecrübe Puanı kazandırmıyor. 
<길드> 다른 제국 사람을 길드에 초대할 수 없습니다.	<Guild> Diğer Krallıklardan olan oyuncuları Loncaya davet edemezsin. 
<길드> 더이상 장수를 지정할 수 없습니다.	<Guild> Daha fazla Lider seçemezsin. 
<길드> 돈이 부족합니다.	<Guild> Yeterli Yang yok. 
<길드> 래더 점수가 %d 점이 되었습니다	<Guild> Sıralama %d Puana yükseldi. 
<길드> 레더 점수가 모자라서 길드전을 할 수 없습니다.	<Guild> Sıralama Lonca Savaşına katılabilmek için çok düşük. 
<길드> 삭제할 수 없는 글입니다.	<Guild> Mesaj silinemez. 
<길드> 상대가 %d 채널에 있습니다. (현재 채널 %d)	<Guild>  Oyuncu şu an %d kanalında. (Bulunulan kanal: %d) 
<길드> 상대가 온라인 상태가 아닙니다.	<Guild> Oyuncu çevrim dışı. 
<길드> 상대방 길드가 이미 전쟁 중 입니다.	<Guild> Bu Lonca zaten bir savaşa katılıyor. 
<길드> 상대방 길드의 길드원 수가 부족하여 길드전을 할 수 없습니다.	<Guild> Lonca, Lonca Savaşına katılabilmek için yeterli üyeye sahip değil. 
<길드> 상대방 길드의 길드장이 접속중이 아닙니다.	<Lonca> Düşman lonca lideri çevrimdışı. 
<길드> 상대방 길드의 레더 점수가 모자라서 길드전을 할 수 없습니다.	<Guild> Lonca bir savaşta yer almak için yeterli Sıralama Puanına sahip değil. 
<길드> 상대방 길드의 전비가 부족하여 길드전을 할 수 없습니다.	<Guild> Bu Lonca, Lonca savaşı yapmak için yeterli Yang'a sahip değil. 
<길드> 상대방이 같은 길드가 아닙니다.	<Guild> Oyuncu aynı Loncada değil. 
<길드> 상대방이 길드 초대 거부 상태입니다.	<Guild> Oyuncu Lonca davetini reddetti. 
<길드> 상대방이 이미 다른 길드에 속해있습니다.	<Guild> Bu oyuncu zaten başka bir Loncaya üye. 
