//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//Düello Server NPC
m	448	648	0	0	0	3	1m	100	1	9006
m	448	645	0	0	0	3	1m	100	1	9001
m	448	642	0	0	0	3	1m	100	1	9002
m	448	639	0	0	0	3	1m	100	1	9003
m	448	636	0	0	0	3	1m	100	1	9010
m	448	633	0	0	0	3	1m	100	1	20402
m	448	630	0	0	0	3	1m	100	1	20084
m	448	627	0	0	0	3	1m	100	1	21359
m	448	624	0	0	0	3	1m	100	1	20359
m	453	622	0	0	0	1	1m	100	1	41019
m	456	622	0	0	0	1	1m	100	1	41029
m	459	622	0	0	0	1	1m	100	1	41039
m	462	622	0	0	0	1	1m	100	1	41049
m	453	651	0	0	0	5	1m	100	1	20011
m	456	651	0	0	0	5	1m	100	1	11001
m	460	637	0	0	0	1	1m	100	1	11000
