//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//Düello Server NPC
m	623	650	0	0	0	3	1m	100	1	9006
m	623	647	0	0	0	3	1m	100	1	9001
m	623	644	0	0	0	3	1m	100	1	9002
m	623	641	0	0	0	3	1m	100	1	9003
m	623	638	0	0	0	3	1m	100	1	9010
m	623	635	0	0	0	3	1m	100	1	20402
m	623	632	0	0	0	3	1m	100	1	20084
m	623	629	0	0	0	3	1m	100	1	21359
m	623	626	0	0	0	3	1m	100	1	20359
m	630	624	0	0	0	1	1m	100	1	41019
m	633	624	0	0	0	1	1m	100	1	41029
m	636	624	0	0	0	1	1m	100	1	41039
m	639	624	0	0	0	1	1m	100	1	41049
m	630	651	0	0	0	5	1m	100	1	20011
m	637	638	0	0	0	1	1m	100	1	11002
m	633	651	0	0	0	5	1m	100	1	11003
