//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//Düello Server NPC
m	442	424	0	0	0	3	1m	100	1	9006
m	442	421	0	0	0	3	1m	100	1	9001
m	442	418	0	0	0	3	1m	100	1	9002
m	442	415	0	0	0	3	1m	100	1	9003
m	442	412	0	0	0	3	1m	100	1	9010
m	442	409	0	0	0	3	1m	100	1	20402
m	442	406	0	0	0	3	1m	100	1	20084
m	442	403	0	0	0	3	1m	100	1	21359
m	442	400	0	0	0	3	1m	100	1	20359
m	447	398	0	0	0	1	1m	100	1	41019
m	450	398	0	0	0	1	1m	100	1	41029
m	453	398	0	0	0	1	1m	100	1	41039
m	456	398	0	0	0	1	1m	100	1	41049
m	447	425	0	0	0	5	1m	100	1	20011
m	450	413	0	0	0	0	1m	100	1	11004
m	450	425	0	0	0	5	1m	100	1	11005
